lemma,frequency,rank
Mátrai,17,342
borzaska,17,343
amerikai,17,344
gnocchi,17,345
Kapros,17,346
Lencsefőzelék,17,347
Burgonya,17,348
metél,17,349
marharagu,17,350
pankó,17,351
Currys,17,352
sertéstokány,17,353
tavaszias,17,354
dubarry,17,355
kacsa,17,356
Pepperónis,17,357
Zabpelyhes,17,358
hentes,16,359
zöldbableves,16,360
göngyölt,16,361
kemencés,16,362
soksajtos,16,363
gyümölcsmártás,16,364
pikáns,16,365
kruton,16,366
Póréhagymás,16,367
Polpetti,16,368
rösztike,16,369
spenótos,16,370
lasagne,15,371
Pecsenyeleves,15,372
Káposztás,15,373
zöldbab,15,374
2390.,15,375
almaleves,15,376
Csülkös,15,377
levesgyöngy,15,378
mézes,15,379
csalamádé,15,380
császár,15,381
csirkecombfilé,15,382
rablóhús,15,383
krumplipüre,15,384
tésztasaláta,15,385
lenmagos,15,386
dagadó,15,387
Pankós,15,388
nyírségi,14,389
Savanyú,14,390
Ananászos,14,391
erdei,14,392
bécsi,14,393
kolbászmorzsa,14,394
szarvacska,14,395
bac,14,396
roston,14,397
olivás,14,398
rostélyos,14,399
malacsült,14,400
Stroganoff,14,401
darált,14,402
pulykaapró,14,403
orsó,14,404
püre,14,405
Zöldségleves,13,406
Fokhagyma,13,407
zöldborsóleves,13,408
Körömpörkölt,13,409
fasírozott,13,410
Gyümölcsfőzelék,13,411
Magvas,13,412
tökfőzelék,13,413
levél,13,414
apró,13,415
rozmaringos,13,416
Csül,13,417
tekert,13,418
mandulás,13,419
aszalt,13,420
paradicsomleves,13,421
makaróni,13,422
Göngyölt,13,423
Hagymás,13,424
Csirkecomb,13,425
parmezános,13,426
krumplis,13,427
gödöllői,13,428
snidlinges,13,429
natúr,13,430
velős,13,431
csirkemel,13,432
Vasalt,13,433
almasaláta,13,434
tésztaleves,12,435
Kakaspörkölt,12,436
babfőzelék,12,437
Budapest,12,438
krumplileves,12,439
meggyszósz,12,440
penne,12,441
hagyma,12,442
csipetke,12,443
sültkrumpli,12,444
Betyár,12,445
gyümölcsös,12,446
Marha,12,447
röszti,12,448
halászlé,12,449
morzs,12,450
gombafej,12,451
Farm,12,452
sütemény,12,453
cukkini,12,454
aranygaluska,12,455
tortilla,12,456
óvári,12,457
Parmezános,12,458
Grill,12,459
Barackos,12,460
burgonyakrokett,12,461
Chilis,11,462
szilvaleves,11,463
szemes,11,464
Csirkeragu,11,465
