dish_name,count
Görög rakott burgonya,15
Magyaros gombaleves,15
"Bácskai rizses hús, saláta",15
"Meggyfőzelék, Párizsi csirke",15
"Sertéspörkölt, tarhonya, savanyúság",15
"Rántott csirkecomb, rizibizi",15
"Resztelt máj, főttburgonya",15
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.- czigány lecsó, lassan sült oldalassal és házi tésztával. 2390.",15
"Magyaros zöldborsóleves, csipetkével",14
Csirkeragu leves,14
"Gombaleves, csipetkével",14
Csőben sült túrós palacsinta,14
"Meggyfőzelék, Párizsi csirkemell",14
Leves + garnélás - tonhalas - tejszínes spagetti,14
Becsinált leves,14
Paradicsomos káposzta vagdalttal,14
Májgombóc leves,14
Vargabéles,14
"Sárgaborsó főzelék, borsos tokány",14
Leves + garnélás - tejszínes spagetti,14
"Körömpörkölt, sós burgonya, saláta",14
Burgonyafőzelék vagdalttal,14
Babgulyás + tiramisu,14
"Rakott karfiol, greslivel",14
"Csongrádi tekercs, petrezselymes burgonya",13
Korhely leves,13
"Rántott sertésmáj, petrezselymes burgonya",13
Csontleves gazdagon,13
"Tavaszi rizses hús, savanyúság",13
"Sobri szelet, rizzsel",13
Sárgaborsó főzelék pörkölttel,13
"Rántott halrúd, kukoricás rizs",13
Babgulyás - palócgulyás,13
Burgonyás tészta,13
Csülökpörkölt tésztával,13
Hagymakrém leves,13
Babgulyás - tyúkhúsleves,13
Borjúpörkölt tésztával,13
"Rántott tengeri halfilé, petrezselymes burgonya",13
"Magvas rántott szelet, kukoricás rizs",13
Prézlis tészta baracklekvárral,13
Karalábéleves,13
"Rántott jérce, rizibizi",13
Hideg meggyleves,13
"Rác csirkecomb, karikás burgonya",13
Babgulyás - pecsenyeleves,13
"Gyros, sültburgonya, saláta",13
Marhapörkölt tésztával,12
Magyaros rizsleves,12
"Körömpörkölt, sósburgonyával",12
Karfiol leves,12
Csikós tokány tésztával,12
"Tökfőzelék, fasírt",12
Csirkepaprikás nokedlivel,12
"Fokhagyma krémleves, zsemlekocka",12
"Magvas rántott szelet, rizibizi",12
Palóc gulyás,12
Krémes palacsinta,12
"Finomfőzelék, sült csirkecomb, palacsinta",12
Babgulyás - legényfogó leves,12
Tökfőzelék pörkölttel,12
"Cordon Bleu, sültburgonya",12
"Pankó morzsás rántott szelet, kukoricás rizs",12
Pontyhalászlé túrós csusza,12
Pulled pork tál,12
"Csőben sült brokkolis csirkemell, rizs",12
"Rántott csirkemell, párolt zöldség, rizs",12
Szalagos fánk lekvárral,12
Tejfölös zöldbableves,12
Túróval töltött zsemle,12
"Édes - savanyú csirke, rizs",12
"Ínyenc batyu, rizs",12
Babgulyás - Frankfurti leves,12
"Birkapörkölt, főttburgonya",11
Csorbaleves,11
Sertéskaraj vadasan tésztával,11
Falusi csirkeleves daragaluskával,11
Kertészleves,11
"Zöldbabfőzelék, fasírozott",11
Rizskók lekvárral,11
Szemes bableves - gyümölcsleves,11
Újházi tyúkhúsleves,11
Csirkepörkölt galuskával,11
"Holstein szelet, rizibizi",11
Hentes tokány tésztával,11
Szilvalekváros derelye,11
"Sertéskaraj ""otthon"" módra rizzsel",11
Tavaszi zöldségleves - gyümölcsleves,11
"Sült oldalas, törtburgonya",11
Zeller krémleves - csontleves cérnametélttel,11
Magyaros zöldbableves,11
Magyaros zöldbableves - gyümölcsleves,11
Belsőségleves - gyümölcsleves,11
Hamis gulyás,11
Szárnyas aprólék leves,11
"Kofapecsenye, tarhonya",11
"Kelkáposzta főzelék, fokhagymás sertéssült",11
Grízgombócleves,11
Milánói sertéskaraj,11
Minestrone leves,11
Gombapaprikás tésztával,11
"Mustáros sertésapró, tészta",11
"Szezámmagos rántott sertés szelet, vegyes köret, saláta",11
"Roston csirkemell, sajtmártás, rizs",11
Borsostokány tésztával,10
"Rántott sajt, sültburgonya, tartár",10
"Rántott karfiol és brokkoli, rizibizi, tartár",10
Csirkehúsleves,10
"Zöldborsófőzelék, göngyölt hússal",10
Túrós tészta,10
"Sajttal - sonkával töltött szelet, rizibizivel",10
Csk burger,10
Lecsós tarja tarhonyával,10
"Lecsós csirkemáj, rizzsel",10
"Paprikás burgonya, füstölt kolbásszal",10
"Mexikói sertés tokány galuskával, saláta",10
B.u.é.k,10
"Fokhagymás tokány, tészta",10
Hamis gulyás leves,10
"Kelkáposzta főzelék, fasírt",10
Káposztás kocka,10
"Szemes babfőzelék, sertéspörkölt",10
"Bácskai rizses hús, savanyúság",10
Burgonya gombóc leves,10
Magyaros zöldségleves,10
"Sertéspörkölt tésztával, saláta",10
Fahéjas almaleves,10
"Birkapörkölt, sós burgonya, saláta",10
"Tökfőzelék, fasírozott",10
"Székelykáposzta, palacsinta",10
"Paradicsomos káposzta, sült hús",10
Babgulyás - raguleves,10
"Pásztor tarhonya, savanyúság",10
"Rántott szelet, petrezselymes burgonya",10
"Roston csirkemell, sajtmártás, krokett",10
Kelkáposzta főzelék pörkölttel,9
"Sajttal töltött szelet, rizibizi",9
Tarhonya leves,9
Budapest szelet rizzsel,9
"Meggymártás, rántott szelet",9
Pontypaprikás kapros túrós csuszával,9
Halászlé,9
Sertéshúsleves,9
Babgulyás leves – tyúkhúsleves tésztával,9
Gyümölcsrizs,9
"Almaszósz, Párizsi szelettel",9
"Magyaróvári sertéskaraj, petrezselymes burgonya",9
Babgulyás leves – tárkonyos sertés raguleves,9
Tökfőzelék vagdalttal,9
"Rántott velő, burgonyapüré",9
"Bácskai rizseshús, saláta",9
Carbonara penne,9
"Chilis bab, rizs",9
"Csirkepörkölt, nokedli",9
Zeller krémleves,9
Csontleves tésztával,9
Tojásos tészta,9
Cézár saláta,9
Eperleves,9
Francia rakott burgonya,9
"Zöldborsó főzelék, sült csirkecomb",9
Kelvirágleves,9
"Zöldborsófőzelék, sült csirkecomb, palacsinta",9
"Rablóhús, sültburgonya",9
Korhelyleves - gyümölcsleves,9
Pacalpörkölt sós burgonyával,9
"Sonkával töltött rántott sajt, püré",9
Tejfölös gombaleves - csontleves cérnametélttel,9
"Rántott szelet, kukoricás rizs",9
Csirkepaprikás tésztával,8
Francia hagymaleves,8
Sárgaborsó gulyás,8
Szecsuáni csirke sült tésztával,8
"Gyümölcsleves, bisztró burger",8
"Finomfőzelék, sült csirkecomb",8
"Debreceni szelet, kagylótésztával",8
"Rántott sajt, rizzsel",8
Tökfőzelék fasírttal,8
"Pincepörkölt, sósburgonya",8
Pincepörkölt,8
"Burgonyafőzelék, sült oldalas",8
Marhahúsleves,8
"Cordon Bleu, petrezselymes burgonya",8
Csirkepaprikás galuskával,8
"Magyaros sertésmáj, törtburgonya, savanyúság",8
Jércemell Orly módra zöldséges rizs,8
Krumplifőzelék fasírozottal,8
Édes - savanyú csirkemell bulgurral,8
Meggymártás rántott jércemell,8
"Meggymártás, Párizsi szelet",8
"Pankó morzsás rántott hús, rizibizi",8
Munkaerőt felveszünk,8
"Paradicsomos húsgombóc, főtt burgonya",8
"Ínyenc tekercs, petrezselymes burgonya",8
"Kapros tökfőzelék, fasírt",8
Sajtkrémleves,8
"Csongrádi tekercs, rizibizi",8
Csülkös babgulyás,8
Frankfurti leves - gyümölcsleves,8
"Sajtburger, sült krumplival",8
Görög gyümölcsleves,8
Holstein szelet hasábburgonya,8
Húsleves cérnácska,8
Húsos tészta,8
Karalábleves,8
"Cigánypecsenye, hagymás burgonya, saláta",8
"Rántott szelet, sültburgonya",8
Kellemes húsvéti ünnepeket,8
"Krumplifőzelék, fasírozott",8
"Lecsós sertés szelet, rizs",8
Lecsós sertés tésztával,8
Lencse krémleves,8
"Lencsefőzelék, sült virsli",8
Leves + grillezett filézett csirkecomb pesztóval,8
"Párizsi csirkemell, almafőzelék",8
Soksajtos tejszínes gnocchi spenóth levéllel,8
"Kalocsai harcsafilé, rizs",8
Bableves,8
Túrógombóc,8
Tejfölös karfiolleves,8
"Prézlis tészta, baracklekvár",8
Burgonya gratinnal és sült tök szálakkal,8
Becsináltleves,8
"Vadas sertés java, zsemlegombóc, csőtészta",8
Belsőségleves,8
Borsóleves,8
"Lecsós csirkemáj, rizs",7
Csőben sült többsajtos csirkemell rizzsel,7
Cigánypecsenye steakburgonyával,7
Cigánypecsenye,7
Paradicsomos húsgombóc főttburgonya,7
Gombapaprikás galuskával,7
Csontleves lúdgége tésztával,7
Chilis bab tejföllel,7
Csopaki aprópecsenye tésztával,7
"Cordon Bleu, rizibizi",7
"Bakonyi tokány, tészta",7
Bakonyi csirkecomb galuska,7
"Brassói aprópecsenye, saláta",7
"Egészben sült csülök, steak burgonya, hagymakarika",7
Eper krémleves,7
Eperkrém leves,7
"Erdélyi fatányéros, uborka saláta",7
"Finomfőzelék, kolbásszal töltött karaj",7
Bogrács gulyásleves – tárkonyos sertés raguleves,7
Gundel palacsinta,7
Gyümölcsleves túrógombóccal,7
"Gyümölcsmártás, Párizsi szelet",7
Hamburger menü: smokey burger barbecue sültkrumplival,7
Hortobágyi betyár leves,7
"Burgonyafőzelék, fasírttal",7
"Betyár batyu, törtburgonya",7
Borsmártásos karaj burgonyapürével,7
Pásztor gulyásleves – szárnyas raguleves,7
"Chilis bab, rizzsel",7
Cigánypecsenye steak burgonya,7
Bakonyi sertéskaraj galuskával,7
Bakonyi sertés szelet tésztával,7
"Zúzapörkölt, tészta",7
Csülök Pékné módra,7
"Csőben sült brokkoli, vasalt csirkecombbal",7
Harcsapaprikás túrós csusza,7
Hortobágyi húsos palacsinta,7
"Rántott csirkemell, rizibizi",7
"Kakaspörkölt, túrós csusza",7
"Zöldborsó főzelék, fasírozott",7
Borscs leves,7
Savanyú krumplileves,7
"Tejszínes - gombás csirkemell, tészta",7
"Paradicsomos káposzta, sült hússal",7
"Zöldborsó főzelék, rántott csirkecomb",7
Sertéshús leves,7
"A mai menekülő menü 2200ft: rántott szelet, sajt, gomba körettel+leves",7
"Almafőzelék, Párizsi csirke",7
Mátrai borzaska rizibizi,7
Babgulyás + barackos - túrós palacsinta,7
Babgulyás + somlói galuska,7
Bakonyi sertéskaraj tésztával,7
"Burgonyafőzelék, fasírozott",7
"Borsmártásos sertéskaraj, burgonyapüré",7
Kolbászos burgonyaleves,7
"Sajttal - sonkával töltött szelet, rizs",7
Burgonya gratinnal és őszi zöldség salátával,7
"Leves + sült kacsacomb, Orly alma, burgonyapüré",7
Zöldborsóleves csipetkével,7
Zöldbabfőzelék sertéspörkölttel,7
"Leves + aszalt szilvás csirkemell baconbe csavarva, krokett, pikáns meggyzselé",7
Zellerkrémleves levesgyönggyel,7
Rakott palacsinta,7
"Leves + süllő roston, zöldség ágyon, vajas burgonyával",7
"Vadas sertés szelet, csőtészta",7
Rizses hús,7
"Tejszínes gombás csirkemell, párolt rizs",7
Tejbegríz,7
"Rántott camambert, kukoricás rizs, tartár",7
"Leves + rozmaringos kacsacomb, párolt káposzta, burgonyakarikák",7
"Sült hekk, rizs",7
"Rántott sertésmáj, törtburgonya, savanyúság",7
Sajtburger 2190.,7
"Szezámmagos rántott sertésszelet, vegyes köret, saláta",7
"Leves + roston süllő, házi sült burgonya, céklapüré",7
"Rakott burgonya, füstölt kolbásszal",7
Pásztor tarhonya,7
Pudingos erdei gyümölcsleves,7
Marhagulyás,7
"Leves + feta sajtos csirkemell, krokett, rizs",7
"Leves + zöldkérges sertésszűz, sült hagyma steak burgonya, céklakrém",7
"Sokmagvas rántott szelet, rizs",7
"Leves + Wellington szűzpecsenye, édesburgonyapüré",7
"Leves + tűzdelt pontypatkó juhtúrós zöldségágyon, burgonya válogatás",7
"Leves + töltött ágyú, korkett, paradicsom saláta",7
"Leves + mandulás csirkemell, mogyoró burgonyával és pongyolás alma",7
Leves + tonhal steak pestós tagliatelle,7
"Leves + töltött ágyú, burgonya krokett, paradicsom saláta",7
"Pirított sertésmáj, sós burgonya, saláta",7
"Leves + tejszínes - gombás metélt, parmezán sajttal, kérgezett",7
Marhagulyás + somlói galuska,7
Marhapörkölt tarhonyával és uborkával,7
Mákos vagy diós tészta,7
"Pacalpörkölt, sós burgonya, saláta",7
"Leves + tejszínes - gombás gnocchi, parmezán sajttal, kérgezett szűzérmével",7
Leves + tejszínes - garnélás spagetti,7
"Pankó morzsás rántott jérce, rizibizi",7
Szerb rizseshús,7
Zöldséges rizses hús,7
"Leves + baconba tekert csirkemell, hercegnő burgonya, füstölt sajtmártással",7
"Leves + egészben sült csülök, hagyma karika, steak burgonya",7
"Leves + bőrén sült süllő, rosé metélttel és zöld lime - os tejszínes mártással",7
"Leves + mézpácos csirke, borba párolt alma, krokett",7
"Leves + erdei gombás marharagu, fokhagymás burgonyalángossal",7
"Leves + mandula forgácsos csirkemell, sült édesburgonya, mézpácos szamóca",7
"Sokmagvas rántott szelet, rizibizi",7
"Leves + egészben sült csülök, steak burgonya, hagymakarikával",7
"Leves + mandula forgácsos csirkemell, karamellizált gyümölcs, krokett",7
"Leves + grill csirke steak burgonya, idény saláta",7
Leves + csülök egészben sülve hagymamártással és steak burgonyával,7
"Leves + bécsi szelet, rusztikus sültburgonyával",7
"Leves + lecsós szűzérmék, kolbász morzsa, steak burgonya",7
Leves + c19 hamburger sültburgonya,7
"Leves + chilis - mézes sertés tarja, édesburgonyapüré, vajas spárga",7
Leves + lecsós szűzérmék burgonya és kolbászmorzsa,7
Leves + lazac szelet fűszeres mártással,7
"Leves + grillezett csirkemell, mangó mártás, krokett, mézes kalács ropogós",7
"Leves + harcsapaprikás, túrós lasagne",7
Leves + kemencés sült csülök steak burgonya,7
