canonical_name,variant_name,match_type
roston csirkemell,"1 690.- jégsaláta, paprika, paradicsom, uborka, reszelt parmezán és mozzarella, ezersziget öntet, extrudált kenyér kocka, roston csirkemell",curated
rántott csirkemell,"1 690.- jégsaláta, uborka, zöld kaliforniai paprika, rukkola, madársaláta, retekcsíra, joghurtos vinagrette öntet, cornflakes-es rántott csirkemell",curated
hasábburgonya,"1. sajttal töltött csirkemell, hasáb burgonya, joghurtos saláta. 1 890.- 2. rántott camembert, krokett, áfonya lekvár.",curated
hasábburgonya,"200 gr kézműves marhahús pogácsa, cheddar sajttal töltve sült krumplival 2790.",curated
hasábburgonya,"A lecsós tarja, sült krumplival b csk burger, 0,33l üdítővel",curated
rizibizi,A. menü: sült csirkecomb rizibizivel,curated
csirkepörkölt,"A. menü: tejfölös csirke pörkölt, tésztával 2390.- b. menü: sajtburger, 0,33 üdítővel 2390.",curated
csirkepörkölt,"A. menü: tejfölös csirke pörkölt, tésztával b. menü: Bbq burger",curated
csirkepörkölt,"A. töltött kàposzta b. czigány lecsó, csirke pörkölttel, tépett tésztával",curated
húsleves,Alföldi babgulyás - tyúkhúsleves,curated
galuska,Alföldi gulyás - grízes metélt vagy tojásos nokedli,curated
túrós csusza,"Alföldi gulyás - tepsis túrós csusza, prézlis tészta",curated
káposztás tészta,"Alföldi gulyásleves - máglyarakás, káposztás tészta",curated
káposztás tészta,"Alföldi gulyásleves - mákos guba, káposztás tészta",curated
káposztás tészta,"Alföldi gulyásleves - sült derelye öntettel, káposztás tészta",curated
burgonyapüré,"Alföldi rostélyos, törtburgonya",curated
"Párizsi csirkemell, almafőzelék","Almafőzelék, Párizsi csirkemell",auto
"Párizsi sertésszelet, almafőzelék","Almafőzelék, Párizsi sertésszelet",auto
"Almafőzelék, Párizsi szelettel","Almafőzelék, Párizsi szelet",auto
"Rántott csirkecomb, almafőzelék","Almafőzelék, rántott csirkecomb",auto
"Sült csirkecomb, almafőzelék","Almafőzelék, sült csirkecomb",auto
"Sült csirkecomb, almafőzelék","Almafőzelék, sült csirkecombbal",auto
gyümölcsleves,Almaleves,curated
gyümölcsleves,Almaleves eper darabbal,curated
gyümölcsleves,Almaleves eper darabokkal,curated
gyümölcsleves,Almaleves eperdarabokkal,curated
"Almaszósz, Párizsi szelettel","Almaszósz, Párizsi szelet",auto
burgonyapüré,Almával füstölt sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával sajttal sült csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,Almával és sajttal töltött csirkemell tejszínes burgonyapüré,curated
burgonyapüré,"Ananászos csirkemell, burgonyapüré",curated
milánói sertésborda,"Ananászos csirkemell, párolt rizs c: Milánói sertésborda",curated
petrezselymes burgonya,"Ananászos csirkemell, párolt rizs c: sertés szelet Orly módra- rántott almakarika, petrezselymes burgonya, saláta",curated
galuska,Arany galuska,curated
galuska,Aranygaluska,curated
galuska,Aranygaluska - krumplis tészta - mákos nudli,curated
galuska,Aranygaluska - káposztás tészta - lekváros gombóc,curated
galuska,Aranygaluska - sajtos tészta - szilvás gombóc,curated
galuska,"Aranygaluska, vanília sodó",curated
galuska,"Aranygaluska, vanília sodóval",curated
galuska,"Aranygaluska, vaníliasodóval",curated
gyümölcsleves,Arató gulyás - gyümölcsleves,curated
burgonyapüré,Aszalt szilvás csirkemell rántva burgonyapürével,curated
burgonyapüré,Aszalt szilvás rántott karaj tört burgonya,curated
hasábburgonya,"Aszalt szilvával töltött csirkemell, steak burgonya",curated
burgonyapüré,Aszalt szilvával töltött karaj burgonyapürével,curated
rántott csirkemell,Aszalt szilvával töltött rántott csirkemell,curated
burgonyapüré,Aszaltszilvával göngyölt karaj burgonyapürével,curated
sertéspörkölt,"Babfőzelék, sertéspörkölt",curated
galuska,Babgulyás + somlói galuska,curated
káposztás tészta,"Babgulyás - alma fahéjas gombóc, káposztás tészta",curated
galuska,"Babgulyás - aranygaluska, burgonyás tészta",curated
galuska,"Babgulyás - aranygaluska, káposztás tészta",curated
káposztás tészta,"Babgulyás - barackos gombóc, káposztás tészta",curated
túrós csusza,Babgulyás - diós metélt vagy túrós tészta,curated
káposztás tészta,Babgulyás - grízes metélt lekvárral vagy káposztás tészta,curated
húsleves,Babgulyás - húsleves,curated
káposztás tészta,Babgulyás - kakaós ízes palacsinta vagy káposztás tészta,curated
káposztás tészta,"Babgulyás - káposztás tészta, prézlis tészta",curated
húsleves,Babgulyás - marhahúsleves eperszalaggal,curated
káposztás tészta,Babgulyás - máglyarakás vagy káposztás tészta,curated
túrós csusza,Babgulyás - máglyarakás vagy túrós tészta,curated
káposztás tészta,"Babgulyás - máglyarakás, káposztás tészta",curated
túrós csusza,"Babgulyás - máglyarakás, túrós tészta",curated
káposztás tészta,"Babgulyás - mákos guba, káposztás tészta",curated
túrós csusza,"Babgulyás - mákos guba, túrós tészta",curated
galuska,"Babgulyás - mákos nudli, aranygaluska",curated
káposztás tészta,"Babgulyás - mákos nudli, káposztás tészta",curated
káposztás tészta,"Babgulyás - nutellás gombóc, káposztás tészta",curated
káposztás tészta,"Babgulyás - rizsfelfújt, káposztás tészta",curated
káposztás tészta,Babgulyás - sült derelye öntettel vagy káposztás tészta,curated
Babgulyás - sült derelye öntettel vagy burgonyás tészta,"Babgulyás - sült derelye öntettel, burgonyás tészta",auto
káposztás tészta,"Babgulyás - sült derelye öntettel, káposztás tészta",curated
galuska,"Babgulyás - tojásos galuska, fejes saláta vagy sült derelye öntettel",curated
húsleves,Babgulyás - tyúkhúsleves,curated
húsleves,Babgulyás - tyúkhúsleves csigatésztával,curated
túrós csusza,"Babgulyás - túrós csusza, káposztás tészta",curated
túrós csusza,"Babgulyás - túrós csusza, prézlis tészta",curated
káposztás tészta,Babgulyás - túrós gombóc öntettel vagy káposztás tészta,curated
káposztás tészta,"Babgulyás - túrós gombóc, káposztás tészta",curated
túrós csusza,Babgulyás - túrós tészta vagy mákos tészta,curated
túrós csusza,"Babgulyás - túrós tészta, káposztás tészta",curated
túrós csusza,"Babgulyás - túrós tészta, mákos metélt",curated
káposztás tészta,"Babgulyás - túróval töltött zsemle, káposztás tészta",curated
"Babgulyás - burgonyás tészta, ízes gombóc","Babgulyás - ízes gombóc, burgonyás tészta",auto
káposztás tészta,"Babgulyás - ízes gombóc, káposztás tészta",curated
túrós csusza,"Babgulyás - ízes gombóc, túrós tészta",curated
galuska,Babgulyás csipetkével sztrapacska,curated
gyümölcsleves,"Babgulyás leves - csontleves - gyümölcsleves -kakaspörkölt, túrós csuszával -pulykatokány tésztával -óvári sertésszelet, petrezselymes burgonya - +1 rántott karaj, rántott pulykamell, rántott gomba, rántott csirkeszárny",curated
húsleves,Babgulyás leves - marhahúsleves tésztával,curated
húsleves,Babgulyás leves – tyúkhúsleves tésztával,curated
túrós csusza,"Babgulyás, halászlé - túrós csusza, almás - mákos rakott tészta",curated
túrós csusza,"Babgulyás, halászlé - túrós csusza, diós metélt",curated
milánói sertésborda,"Bableves - ""dubarry"" sertéskaraj rizzsel vagy Milánói sertésborda",curated
rizibizi,"Bableves - Bolognai spagetti vagy rántott sajt, rizibizi",curated
rántott sajt,"Bableves - Hortobágyi húsos palacsinta vagy rántott sajt, kukoricás rizs",curated
rizibizi,"Bableves - Hortobágyi húsos palacsinta vagy rántott sajt, rizibizi",curated
bolognai spagetti,Bableves - borsos tokány rizzsel vagy Bolognai spagetti,curated
rántott sajt,"Bableves - bácskai rizses hús vagy rántott sajt, kukoricás rizs",curated
rizibizi,"Bableves - bácskai rizses hús vagy sokmagvas rántott szelet, rizibizi",curated
"Bableves - bácskai rizses hús vagy tejszínes - gombás csirkemell, tészta",Bableves - bácskai rizses hús vagy tejszínes - gombás csirkemell tésztával,auto
bolognai spagetti,Bableves - csirkemáj rizottó vagy Bolognai spagetti,curated
rántott sajt,"Bableves - csirkemáj rizottó vagy rántott sajt, kukoricás rizs",curated
milánói sertésborda,Bableves - fűszeres lecsós csirkemáj rizzsel vagy Milánói sertésborda,curated
rizibizi,Bableves - kondorosi sertésapró rizzsel vagy halrudak rizibizi,curated
rizibizi,"Bableves - kondorosi sertésapró, bulgur vagy rántott sajt, rizibizi",curated
milánói sertésborda,Bableves - lecsós csirkemáj bulgurral vagy Milánói sertésborda,curated
rizibizi,"Bableves - lecsós csirkemáj bulgurral vagy rántott sajt, rizibizi",curated
rizibizi,"Bableves - lecsós csirkemáj rizzsel vagy rántott sajt, rizibizi",curated
rizibizi,"Bableves - lecsós sertéskaraj rizzsel vagy tökmagos rántott szelet, rizibizi",curated
bolognai spagetti,Bableves - lecsós szelet rizzsel vagy Bolognai spagetti,curated
burgonyapüré,"Bableves - lenmagos rántott jérce, burgonyapüré vagy Bolognai spagetti",curated
rizibizi,"Bableves - lyoni csirkemáj rizzsel vagy halrudak, rizibizi",curated
rizibizi,"Bableves - lyoni csirkemáj rizzsel vagy halrúd, rizibizi",curated
rizibizi,"Bableves - lyoni csirkemáj rizzsel vagy magvas rántott szelet, rizibizi",curated
bolognai spagetti,"Bableves - lyoni csirkemáj, bulgur vagy Bolognai spagetti",curated
bolognai spagetti,Bableves - rakott karfiol vagy Bolognai spagetti,curated
rizibizi,"Bableves - rántott csirkecomb, rizibizi vagy sertéskaraj vadasan pennével",curated
rizibizi,"Bableves - rántott sajt, rizibizi vagy Bolognai spagetti",curated
rizibizi,"Bableves - rántott sajt, rizs, tartár vagy rántott szelet, rizibizi",curated
rántott sajt,"Bableves - rántott sajt, rizs, tartármártás vagy rántott sajt, kukoricás rizs",curated
rántott sajt,"Bableves - rántott sajt, rizs, tartármártás vagy tejszínes , gombás jérce tésztával",curated
petrezselymes burgonya,"Bableves - rántott sertésmáj rizzsel vagy halrudak, petrezselymes burgonya",curated
bolognai spagetti,"Bableves - sertéskaraj ""dubarry"" módra, rizs vagy Bolognai spagetti",curated
milánói sertésborda,"Bableves - sonkával töltött sajt, rizs, tartár vagy Milánói sertésborda",curated
rizibizi,"Bableves - sonkával töltött sajt, zöldséges rizs vagy rántott szelet, rizibizi",curated
rizibizi,"Bableves - szerb rizses hús vagy rántott sajt, rizibizi",curated
húsleves,Bableves - tyúkhúsleves,curated
rántott sajt,"Bableves - zöldséges csirkeapró, kuszkusz vagy rántott sajt, kukoricás rizs",curated
milánói sertésborda,Bableves - zöldséges húsos rakott tészta vagy Milánói sertésborda,curated
gyümölcsleves,Bableves / gyümölcsleves,curated
gyümölcsleves,Bableves family módra - gyümölcsleves,curated
hasábburgonya,"Babos tarja sajttal pirítva, steak burgonya",curated
hasábburgonya,"Babos, sajtos tarja, steak burgonya",curated
rizibizi,Baconbe tekert csirkemell rizi-bizi,curated
petrezselymes burgonya,"Baconbe tekert csirkemell, petrezselymes burgonya",curated
rizibizi,"Baconbe tekert csirkemell, rizibizi",curated
rizibizi,"Baconbe tekert csirkemell, rizibizivel",curated
burgonyapüré,"Baconos - tejfölös sertés szelet, törtburgonya",curated
burgonyapüré,Baconos csirkemell tócsni krumplipürével,curated
petrezselymes burgonya,"Baconos csirkemell, petrezselymes burgonya",curated
rizibizi,"Baconos sajtos csirkemell rántva, rizibizi",curated
túrós csusza,Baconos túrós csusza,curated
petrezselymes burgonya,"Baconos, brokkolis csirkemell csőben sütve, petrezselymes burgonya",curated
burgonyapüré,Baconos-sajtos csirkemell burgonyapüré,curated
"Brokkolis baconös csirkemell csőben sütve, krokett","Baconös - brokkolis csirkemell csőben sütve, krokett",auto
hasábburgonya,"Baconös - sajtos csirkemell csőben sütve, sültburgonya",curated
rizibizi,"Baconös - sajtos csirkemell, rizibizi",curated
gyümölcsleves,Baconös babkrém leves - gyümölcsleves,curated
petrezselymes burgonya,"Baconös batyu, petrezselymes burgonya",curated
burgonyapüré,"Baconös csirkebatyu, burgonyapüré",curated
rizibizi,"Baconös csirkemell csőben sütve, rizi-bizi",curated
rizibizi,Baconös sajtos rántott csirkemell rizibizi,curated
csontleves,Bakonyi betyár leves - csontleves,curated
gyümölcsleves,Bakonyi betyárleves - gyümölcsleves,curated
galuska,Bakonyi csirkecomb galuska,curated
galuska,"Bakonyi csirkecomb, nokedli",curated
Bakonyi csirkemell árpagyönggyel,Bakonyi csirkemell árpagyöngy,auto
galuska,Bakonyi galuskaleves,curated
csontleves,Bakonyi gombaleves - csontleves,curated
galuska,Bakonyi húsgolyók nokedlivel,curated
galuska,Bakonyi kacsacomb galuska,curated
Bakonyi sertés szelet tésztával,Bakonyi sertés szelet tészta,auto
galuska,Bakonyi sertés szelet zöldfűszeres galuska,curated
galuska,"Bakonyi sertés szelet, galuska",curated
burgonyapüré,"Bakonyi sertés tésztával b: kijevi pulykamell, burgonyapüré",curated
galuska,"Bakonyi sertés, galuska",curated
Bakonyi sertés tésztával,"Bakonyi sertés, tészta",auto
galuska,Bakonyi sertésapró nokedlivel,curated
galuska,"Bakonyi sertésapró, galuska",curated
galuska,"Bakonyi sertéskaraj, galuska",curated
Bakonyi sertésszelet tésztával,Bakonyi sertésszelet tészta,auto
galuska,"Bakonyi sertésszelet, galuska",curated
"Bakonyi sertéstokány, szarvacska tésztával","Bakonyi sertéstokány, szarvacska tészta",auto
galuska,"Bakonyi szelet, galuska",curated
galuska,"Bakonyi szelet, nokedli",curated
Bakonyi szelet tésztával,"Bakonyi szelet, tészta",auto
"Bakonyi tokány, tészta",Bakonyi tokány tésztával,auto
galuska,Bakonyi vajgaluska,curated
galuska,Bakonyi vajgaluska leves,curated
burgonyapüré,Bankfalusi szelet burgonyapürével,curated
rizibizi,Bankfalusi szelet rizibizivel,curated
petrezselymes burgonya,"Bankfalusi szelet, petrezselymes burgonya",curated
burgonyapüré,"Bankfalusi szelet, törtburgonya",curated
burgonyapüré,Barackos csirkemell burgonyapürével,curated
rizibizi,"Barackos csirkemell, vajas burgonya c: rántott sertés szelet- rántott brokkoli, rizibizi, majonéz",curated
roston csirkemell,"Barackos grill csirkemell, párolt rizs",curated
petrezselymes burgonya,"Barackos grill csirkemell, párolt rizs c: sertés szelet Orly módra, petrezselymes burgonya, saláta",curated
fasírozott,Bazsalikomos csirkefasírozott burgonya pürével,curated
fasírozott,Bazsalikomos csirkefasírt burgonya főzelékkel,curated
paradicsomleves,"Bazsalikomos paradicsomleves mozzarellával pecsenye kacsamáj, tepsis burgonya, kovászos uborka",curated
hasábburgonya,Bbq borda steak burgonya majonézes káposztasaláta,curated
rizibizi,Bbq csirkecomb rizi-bizi,curated
"Bbq csirkecomb, vegyes körettel",Bbq csirkecomb vegyes köret,auto
burgonyapüré,"Bbq csirkecomb, burgonyapüré",curated
hasábburgonya,"Bbq csirkecomb, steak burgonya",curated
burgonyapüré,"Bbq csirkecomb, törtburgonya",curated
hasábburgonya,Bbq csirkemell steak burgonya majonézes káposztával,curated
hasábburgonya,"Bbq csirkemell steak burgonya, majonézes káposzta saláta",curated
Bbq csirkemell bulgurral,"Bbq csirkemell, bulgur",auto
burgonyapüré,Bbq csirkeszárny burgonyapürével,curated
burgonyapüré,Bbq csirkeszárny krumplipüré,curated
rizibizi,Bbq csirkeszárny rizibizi káposzta saláta,curated
"Bbq csirkeszárny, tepsis burgonyával",Bbq csirkeszárny tepsis burgonya,auto
burgonyapüré,"Bbq csirkeszárny, burgonyapüré",curated
burgonyapüré,"Bbq csirkeszárny, krumplipürével",curated
hasábburgonya,"Bbq csirkeszárny, steak burgonya",curated
"Bbq csirkeszárny, majonézes burgonya",Bbq csirkeszárnyak majonézes burgonyával,auto
hasábburgonya,"Bbq csirkeszárnyak majonézes káposzta saláta, steak burgonya",curated
hasábburgonya,Bbq csirkeszárnyak majonézes káposztasaláta steak burgonya,curated
burgonyapüré,Bbq oldalas burgonyapüré,curated
hasábburgonya,Bbq oldalas steak burgonya,curated
hasábburgonya,Bbq oldalas steak burgonya majonézes káposzta saláta,curated
hasábburgonya,Bbq oldalas steak burgonya és majonézes káposzta saláta,curated
hasábburgonya,"Bbq sertés szelet, steak burgonya",curated
hasábburgonya,"Bbq sült oldalas, steak burgonya",curated
galuska,"Becsinált leves - aranygaluska, burgonyás tészta",curated
bolognai spagetti,"Becsinált leves - sonkával töltött sajt, rizs, tartármártás vagy Bolognai spagetti",curated
gyümölcsleves,Becsinált leves / gyümölcsleves,curated
gyümölcsleves,Becsináltleves - csontleves cérnametélttel - fahéjas almaleves,curated
gyümölcsleves,Belsőség leves - gyümölcsleves,curated
csontleves,Belsőségleves - csontleves,curated
csontleves,Belsőségleves - csontleves cérnametélttel,curated
gyümölcsleves,Belsőségleves - gyümölcsleves,curated
burgonyapüré,Betyár batyu hagymás törtburgonya,curated
petrezselymes burgonya,"Betyár batyu, petrezselymes burgonya",curated
burgonyapüré,"Betyár batyu, törtburgonya",curated
galuska,Betyárgombóc galuska,curated
galuska,Betyárgulyás - aranygaluska tejsodóval vagy krumplis tészta,curated
káposztás tészta,"Betyárgulyás - palacsinta, káposztás tészta",curated
petrezselymes burgonya,"Betyártekercs, petrezselymes burgonya",curated
Birkapörkölt sós burgonya,Birkapörkölt sós burgonyával,auto
"Birkapörkölt, sósburgonya",Birkapörkölt sósburgonyával,auto
"Birkapörkölt, sós burgonya, saláta","Birkapörkölt, sós burgonyával, saláta",auto
húsleves,Bogrács gulyásleves - tyúkhúsleves csigatészta,curated
húsleves,Bogrács gulyásleves - tyúkhúsleves tésztával,curated
galuska,"Bográcsos csirkepaprikás, nokedli",curated
bolognai spagetti,Bolognai lasagne,curated
bolognai spagetti,Bolognai makaróni,curated
bolognai spagetti,Bolognai penne,curated
bolognai spagetti,Bolognai penne parmezán,curated
bolognai spagetti,Bolognai rakott tészta,curated
bolognai spagetti,Bolognai sertésborda spagettivel,curated
bolognai spagetti,Bolognai spagetsti,curated
bolognai spagetti,Bolognai spagetti,curated
bolognai spagetti,Bolognai spagetti - diós metélt,curated
bolognai spagetti,Bolognai spagetti - grízes tészta,curated
bolognai spagetti,Bolognai spagetti - mákos metélt - diós tészta,curated
bolognai spagetti,Bolognai spagetti -szarvasgombás töltött karaj zöldséges rizzsel -magyaros paprikás krumpli,curated
bolognai spagetti,Bolognai spagetti c: darás metélt öntettel,curated
bolognai spagetti,Bolognai spagetti c: grízes tészta öntettel,curated
bolognai spagetti,Bolognai spagetti c: mákos metélt,curated
bolognai spagetti,Bolognai spagetti c: mákos nudli,curated
bolognai spagetti,Bolognai spagetti c: prézlis tészta öntettel,curated
bolognai spagetti,Bolognai spagetti c: szilvás gombóc,curated
bolognai spagetti,Bolognai spagetti c: túrógombóc,curated
bolognai spagetti,Bolognai spagetti c: ízes derelye,curated
bolognai spagetti,Bolognai spagetti c: ízes gombóc,curated
bolognai spagetti,Bolognai spagetti csirkemellből,curated
bolognai spagetti,Bolognai spagetti eredeti olasz recept alapján,curated
galuska,"Borjú májgaluska leves gazdagon magyaros saslik, grill zöldség, jus",curated
galuska,"Borjúpörkölt, galuska",curated
hasábburgonya,Borskérges szűz hollandi mártással steak burgonya,curated
hasábburgonya,Borskérges szűz hollandi mártással és steak burgonya,curated
hasábburgonya,Borskérges szűzpecsenye hollandi mártással és steak burgonya,curated
hasábburgonya,Borsmártásos csirkemell steak burgonya,curated
burgonyapüré,Borsmártásos karaj burgonyapürével,curated
burgonyapüré,"Borsmártásos sertéskaraj, burgonyapüré",curated
burgonyapüré,"Borsmártásos sertéskaraj, törtburgonya",curated
galuska,Borsos tokány galuska,curated
Borsos tokány tésztával,Borsos tokány tészta,auto
paprikás krumpli,"Borsos tokány, tésztával b: paprikás krumpli, sült Debrecenivel",curated
Borsostokány tésztával,"Borsostokány, tészta",auto
fasírozott,Borsófőzelék fasírt,curated
fasírozott,Borsófőzelék fasírttal,curated
csontleves,Borsóleves - csontleves,curated
petrezselymes burgonya,Borsós csirkemáj petrezselymes burgonya,curated
hasábburgonya,"Borsós tokány, sültburgonya",curated
burgonyapüré,"Borzas szelet, törtburgonya",curated
petrezselymes burgonya,"Borzaska, petrezselymes burgonya",curated
burgonyapüré,"Borzaska, törtburgonya",curated
Brassói,Brassói 2390.,auto
savanyúság,Brassói aprópecsenye savanyúsággal,curated
savanyúság,"Brassói aprópecsenye, savanyúság",curated
galuska,Brindzás sztrapacska rántott hússal,curated
csontleves,Brokkoli krémleves - csontleves,curated
csontleves,Brokkoli krémleves - csontleves cérnametélttel,curated
gyümölcsleves,Brokkoli krémleves - gyümölcsleves,curated
petrezselymes burgonya,"Brokkolis csirkemell csőben sütve, petrezselymes burgonya c: Milánói sertésborda",curated
Tejszínes brokkolis csirkés tészta,Brokkolis tejszínes csirkés tészta,auto
galuska,Bryndzás sztrapacska rántott hússal,curated
burgonyapüré,Budapest ragu burgonyapüré,curated
"Burgonya főzelék, Stefánia vagdalt",Burgonya főzelék Stefánia vagdalttal,auto
fasírozott,Burgonya főzelék fasírttal,curated
sertéspörkölt,Burgonya főzelék sertés pörkölttel,curated
fasírozott,"Burgonya főzelék, fasírozott",curated
fasírozott,"Burgonya főzelék, fasírt",curated
fasírozott,"Burgonya főzelék, tojással - sonkával töltött fasírt",curated
Burgonya főzelék vagdalttal,"Burgonya főzelék, vagdalt",auto
"Burgonyafőzelék, Stefánia vagdalt",Burgonyafőzelék Stefánia vagdalttal,auto
fasírozott,Burgonyafőzelék fasírozottal,curated
rántott csirkemell,"Burgonyafőzelék fasírttal b: rántott csirkemell, zöldséges bulgurral",curated
fasírozott,Burgonyafőzelék házi fasírt,curated
fasírozott,Burgonyafőzelék sajttal töltött fasírttal,curated
sertéspörkölt,Burgonyafőzelék sertéspörkölt,curated
sertéspörkölt,Burgonyafőzelék sertéspörkölttel,curated
"Burgonyafőzelék, sült oldalas",Burgonyafőzelék sült oldalassal,auto
Burgonyafőzelék Stefánia szelettel,"Burgonyafőzelék, Stefánia szelet",auto
fasírozott,"Burgonyafőzelék, fasírozott",curated
fasírozott,"Burgonyafőzelék, fasírt",curated
fasírozott,"Burgonyafőzelék, fasírtall",curated
fasírozott,"Burgonyafőzelék, fasírttal",curated
rizibizi,"Burgonyakrémleves zeller chipsszel csirke nuggets variációk, rizi-bizi, cheddar szósz",curated
bolognai spagetti,Burgonyaleves - Milánói sertésborda vagy Bolognai spagetti,curated
rántott sajt,"Burgonyaleves - bácskai rizses hús vagy szezámmagos rántott sajt, kukoricás rizs",curated
csontleves,Burgonyaleves - csontleves cérnametélttel,curated
gyümölcsleves,Burgonyaleves - gyümölcsleves,curated
bolognai spagetti,"Burgonyaleves - sonkával töltött sajt, francia saláta, rizs vagy Bolognai spagetti",curated
savanyúság,"Bácskai rizses hús, csemege uborka",curated
savanyúság,"Bácskai rizses hús, savanyúság",curated
savanyúság,Bácskai rizseshús savanyúság,curated
petrezselymes burgonya,Bánffy sertésmáj petrezselymes burgonya,curated
petrezselymes burgonya,"Bánfi sertés máj, petrezselymes burgonya, saláta",curated
petrezselymes burgonya,"Bánfi sertésmáj, petrezselymes burgonya",curated
burgonyapüré,"Bánfi sertésmáj, törtburgonya",curated
bécsi szelet,Bécsi szelet rizi-bizi,curated
bécsi szelet,Bécsi szelet rizibizi,curated
bécsi szelet,"Bécsi szelet, majonézes burgonya saláta",curated
bécsi szelet,"Bécsi szelet, majonézes burgonyasaláta",curated
bécsi szelet,"Bécsi szelet, rizibizivel",curated
burgonyapüré,"Böllér pecsenye, törtburgonya",curated
rizibizi,Búbos hús rizibizivel,curated
burgonyapüré,"Búbos hús, burgonyapüré",curated
petrezselymes burgonya,"Búbos hús, petrezselymes burgonya",curated
rizibizi,"Búbos hús, rizibizi",curated
burgonyapüré,"Búbos hús, törtburgonya",curated
petrezselymes burgonya,"Búbos sertés java, petrezselymes burgonya, saláta",curated
burgonyapüré,"Búbos sertés java, törtburgonya, kompót",curated
petrezselymes burgonya,"Búboshús, petrezselymes burgonya",curated
burgonyapüré,"Búboshús, törtburgonya",curated
burgonyapüré,"Bőrös karaj sütve, törtburgonya",curated
burgonyapüré,"Bőrös malacsült, párolt káposzta, törtburgonya",curated
burgonyapüré,Camambert sajttal töltött csirkemell burgonyapürével,curated
hasábburgonya,"Camambert sajttal töltött szelet, steak burgonya, áfonyaszósz",curated
burgonyapüré,"Caprise csirkemell, burgonyapüré",curated
hasábburgonya,"Chili burger vagy Bbq burger, sült krumplival",curated
hasábburgonya,"Chili burger, sült krumplival",curated
"Chilis bab, pita",Chilis bab pitával,auto
hasábburgonya,"Chilis csirkeszárnyak, steak burgonya",curated
burgonyapüré,"Chilis pankós rántott jérce, burgonyapüré",curated
hasábburgonya,Cigány pecsenye steak burgonya,curated
burgonyapüré,Cigánypecsenye hagymás tört burgonya,curated
burgonyapüré,Cigánypecsenye hagymás törtburgonya,curated
hasábburgonya,Cigánypecsenye hasábburgonya almapaprika,curated
hasábburgonya,Cigánypecsenye hasábburgonya almapaprikával,curated
Cigánypecsenye parázs burgonya,Cigánypecsenye parázs burgonyával,auto
hasábburgonya,Cigánypecsenye steak burgonya,curated
petrezselymes burgonya,"Cigánypecsenye, petrezselymes burgonya",curated
petrezselymes burgonya,"Cigánypecsenye, petrezselymes burgonya, saláta",curated
hasábburgonya,"Cigánypecsenye, sültburgonya",curated
"Cigánypecsenye, vegyes köret","Cigánypecsenye, vegyes körettel",auto
Citromos-joghurtos csirkemell görögsaláta,Citromos - joghurtos csirkemell görögsalátával,auto
csontleves,Citromos becsinált leves - csontleves,curated
Citromos spagetti lazaccal és garnélával eredeti olasz recept alapján,"Citromos spagetti, garnélával és lazaccal eredeti olasz recept alapján",auto
csontleves,Citromos tárkonyos raguleves - csontleves,curated
rántott csirkemell,"Conflakes - es rántott jércemell, burgonyakrokett",curated
burgonyapüré,Cordon Bleu burgonyapürével,curated
burgonyapüré,Cordon Bleu krumplipüré,curated
rizibizi,Cordon Bleu rizi-bizivel,curated
burgonyapüré,"Cordon Bleu, burgonyapüré",curated
petrezselymes burgonya,"Cordon Bleu, petrezselymes burgonya",curated
rizibizi,"Cordon Bleu, rizibizi",curated
hasábburgonya,"Cordon Bleu, steak burgonya",curated
hasábburgonya,"Cordon Bleu, sültburgonya",curated
burgonyapüré,"Cordon Bleu, törtburgonya",curated
rántott csirkemell,Cornfakes rántott jércemell rizzsel,curated
rántott csirkemell,"Cornflak-es rántott jércemell, burgonya krokett",curated
rántott csirkemell,"Cornflakes - es rántott jércemell, francia saláta, rizs",curated
petrezselymes burgonya,"Cornflakes bundás csirkemell, petrezselymes burgonya",curated
rántott csirkemell,Cornflakes rántott jércemell rizzsel,curated
rántott csirkemell,"Cornflakes rántott jércemell, bulgur",curated
rántott csirkemell,"Cornflakes rántott jércemell, burgonyakrokett",curated
rántott csirkemell,"Cornflakes rántott jércemell, francia saláta",curated
rántott csirkemell,"Cornflakes rántott jércemell, francia saláta, rizs",curated
rántott csirkemell,"Cornflakes rántott jércemell, krokett",curated
rántott csirkemell,"Cornflakes rántott jércemell, krokettel",curated
rántott csirkemell,"Cornflakes rántott jércemell, zöldséges rizs",curated
burgonyapüré,"Cornflakes rántott szelet, burgonyapüré",curated
petrezselymes burgonya,"Cornflakes rántott szelet, petrezselymes burgonya",curated
hasábburgonya,"Cornflakes rántott szelet, sültburgonya",curated
burgonyapüré,"Country karj, törtburgonya, feta, sonka, kukorica",curated
burgonyapüré,Csabai töltött karaj burgonyapüré,curated
petrezselymes burgonya,Csabai töltött karaj petrezselymes burgonya,curated
burgonyapüré,"Csabai töltött karaj, párolt káposzta, törtburgonya",curated
burgonyapüré,"Csabai töltött karaj, tört burgonya",curated
burgonyapüré,"Csabai töltött karaj, törtburgonya",curated
burgonyapüré,"Csabai töltött karaj, törtburgonya, párolt káposzta",curated
burgonyapüré,"Csabai töltött sertéskaraj, párolt káposzta, törtburgonya",curated
burgonyapüré,"Csemege karaj párolt káposztával, törtburgonya",curated
