dish_name,score,lemmas
dish_name,count,dish_name
Magyaros zöldborsóleves,31,magyaros zöldborsóleves
Rizsleves,31,Rizsleves
"Halrudak, rizibizi",30,"halrudak , rizibizi"
Szilvaleves,30,Szilvaleves
Sajtos - tejfölös tészta,30,Sajtos - tejfölös tészta
"Burgonyafőzelék, fasírt",30,"Burgonyafőzelék , fasírt"
Töltött paprika,30,töltött paprika
Alföldi tésztaleves,29,alföldi tésztaleves
"Gyros, sültburgonya",29,"gyros , sültburgonya"
"Töltött csirkecomb, rizibizi",29,"töltött csirkecomb , rizibizi"
Tejfölös burgonyaleves,28,Tejfölös burgonyaleves
Marhapörkölt galuskával,28,Marhapörkölt galuska
Bakonyi betyárleves,28,bakonyi betyárleves
"Körömpörkölt, főttburgonya",28,"Körömpörkölt , főttburgonya"
"Sajttal - sonkával töltött szelet, rizibizi",28,"Sajt - sonka töltött szél , rizibizi"
Rakott krumpli,27,rakott krumpli
"Pacal, főttburgonya",27,"pacal , főttburgonya"
Húsgombócleves,27,Húsgombócleves
"Zöldborsós sertés tokány galuskával, saláta",27,"zöldborsós sertés tokány galuska , saláta"
"Kakaspörkölt tésztával, saláta",27,"Kakaspörkölt tészta , saláta"
Bácskai rizses hús,27,bácskai rizses hús
Zúzapörkölt tarhonyával,27,Zúzapörkölt tarhonya
Bácskai rizseshús,26,Bácskai rizseshús
"Borsos tokány galuskával, saláta",26,"Borsos tokány galuska , saláta"
Burgonyagombóc leves,26,Burgonyagombóc leves
"Kelkáposzta főzelék, fasírozott",26,"Kelkáposzta főzelék , fasírozott"
Ízes derelye,26,ízes derely
"Sárgaborsó főzelék, sertéspörkölt",26,"Sárgaborsó főzelék , sertéspörkölt"
Eperkrémleves,26,Eperkrémleves
Szaggatott tésztaleves,25,szaggatott tésztaleves
"Párizsi sertés szelet, vegyes köret, saláta",25,"párizsi sertés szél , vegyes köret , saláta"
"Pulykapörkölt tésztával, saláta",25,"Pulykapörkölt tészta , saláta"
Zöldborsó leves,25,Zöldborsó leves
Diós tészta,25,Diós tészta
Bakonyi betyár leves,25,bakonyi betyár leves
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.",25,"rántott sajt , sül krumpli . 2290.- sajttal-sonkával töltött karaj , sül krumpli . 2390.- sajtos-bundás csirkemell , sül krumpli . 2390.- lassú sült oldalas , jázmin rizz . 2390."
Tárkonyos sertés raguleves,25,tárkonyos sertés raguleves
Mákos guba,24,mákos guba
"Csikós tokány, tészta",24,"Csikós tokány , tészta"
"Gyümölcsfőzelék, Párizsi csirkemell",24,"Gyümölcsfőzelék , Párizsi csirkemell"
Hentes tokány tésztával,24,Hentes tokány tészta
Borsos tokány tésztával,24,Borsos tokány tészta
Gyros,24,Gyros
"Töltött csirkecomb, burgonyapüré",24,"töltött csirkecomb , burgonyapüré"
Sütőtök krémleves,23,Sütőt krémleves
Magyaros gombaleves,23,magyaros gombaleves
Vaníliás palacsinta,23,Vaníliás palacsinta
"Rakott burgonya, saláta",23,"rakott burgonya , saláta"
"Húsos leves b,c másodikkal",23,"húsos leves b , c második"
