dish_name,count,lemmas,course,protein,cooking_method,canonical_name
Csirkemelles lasagna,5,Csirkemelles lasagna,főétel,csirke,,Csirkemelles lasagna
Csirkemell jóasszony módra hasábburgonya,5,Csirkemell jóasszony mód hasábburgonya,főétel,csirke,,hasábburgonya
Csikós tokány tarhonya,5,Csikós tokány tarhony,főétel,,,Csikós tokány tarhonya
"Camemberttel, póréhagymával töltött sertéskaraj rántva, rizs, tartármártás",5,"Camembert , póréhagyma töltött sertéskaraj rántva , rizs , tartármártás",főétel,sertés,"rántott,töltött","Camemberttel, póréhagymával töltött sertéskaraj rántva, rizs, tartármártás"
Burgonya főzelék vagdalttal,5,Burgonya főzelék vagdalt,főzelék,,,Burgonya főzelék vagdalttal
Brokkoli krémleves - Gyümölcsleves,5,brokkoli krémleves - Gyümölcsleves,leves,vegetáriánus,,gyümölcsleves
"Borzas szelet, rizzsel",5,"borzas szél , rizz",főétel,,,"Borzas szelet, rizzsel"
"Borsostokány tésztával, uborkasalátával",5,"Borsostokány tészta , uborkasaláta",főétel,,,"Borsostokány tésztával, uborkasalátával"
Bolognai penne,5,Bolognai pesz,főétel,,,bolognai spagetti
Bisztró gulyás,5,Bisztró gulyás,főétel,marha,,Bisztró gulyás
Szecsuáni csirkemell bulgurral,5,szecsuáni csirkemell bulgur,főétel,csirke,,Szecsuáni csirkemell bulgurral
"Bankfalusi szelet, petrezselymes burgonya",5,"bankfalusi szél , petrezselymes burgonya",főétel,,,petrezselymes burgonya
Bakonyi vajgaluska leves,5,Bakonyi vajgaluska leves,leves,,,galuska
"Szemes babfőzelék, sült lecsókolbász",5,"szemes babfőzelék , sült lecsókolbász",főzelék,sertés,sült,"Szemes babfőzelék, sült lecsókolbász"
Bakonyi gombaleves,5,bakonyi gombaleves,leves,vegetáriánus,,Bakonyi gombaleves
Szemes bableves csülökkel,5,szemes bableves csülök,leves,sertés,,Szemes bableves csülökkel
Szezámmagos rántott hal majonézes burgonya saláta,5,szezámmagos rántott hal majonézes burgonya saláta,főétel,hal,rántott,Szezámmagos rántott hal majonézes burgonya saláta
Babgulyás leves - Marhahúsleves tésztával,5,Babgulyás leves - marhahúsleves tészta,leves,marha,,húsleves
Babgulyás füstölt csülökkel Túróval töltött gombóc dióbundában,5,Babgulyás füstölt csülök Túró töltött gombóc dióbunda,leves,"sertés,marha",töltött,Babgulyás füstölt csülökkel Túróval töltött gombóc dióbundában
"Ananászos csirkemell, párolt rizs",5,"Ananászos csirkemell , párolt rizs",főétel,csirke,párolt,"Ananászos csirkemell, párolt rizs"
Alföldi gulyásleves,5,alföldi gulyásleves,leves,marha,,Alföldi gulyásleves
Kijevi csirkemell petrezselymes burgonyával,5,Kijevi csirkemell petrezselymes burgonya,főétel,csirke,,Kijevi csirkemell petrezselymes burgonyával
Garnélás tészta,5,Garnélás tészta,főétel,,,Garnélás tészta
"Szezámmagos rántott szelet, vegyes köret",5,"szezámmagos ránt szél , vegyes köret",főétel,,rántott,"Szezámmagos rántott szelet, vegyes köret"
Sárgaborsó krémleves - Gyümölcsleves,5,Sárgaborsó krémleves - gyümölcsleves,leves,,,gyümölcsleves
Ananászos csirkemell kukoricás rizs,5,Ananászos csirkemell kukoricás rizs,főétel,csirke,,Ananászos csirkemell kukoricás rizs
Zúzapörkölt galuskával,5,Zúzapörkölt galuska,főétel,,pörkölt,Zúzapörkölt galuskával
Sólet töltött libanyakkal,5,sólet töltött libanyakkal,főétel,,töltött,Sólet töltött libanyakkal
"Csemege karaj, párolt káposzta, törtburgonya",5,"Csemeg karaj , párolt káposzta , törtburgonya",főétel,sertés,párolt,burgonyapüré
Tejfölös burgonyaleves - Csontleves cérnametélttel,5,Tejfölös burgonyaleves - Csontleves cérnametélt,leves,,,csontleves
Tejfölös gombaleves,5,Tejfölös gombaleves,leves,vegetáriánus,,Tejfölös gombaleves
Jókai bableves - Liba raguleves,5,Jókai bableves - Li raguleves,leves,,,Jókai bableves - Liba raguleves
Kakaspörkölt tésztával,5,Kakaspörkölt tészta,főétel,,pörkölt,Kakaspörkölt tésztával
Zöldbabfőzelék vagdalttal,5,Zöldbabfőzelék vagdalt,főzelék,,,Zöldbabfőzelék vagdalttal
"Krumplifőzelék, fasírttal",5,"Krumplifőzelék , fasírt",főzelék,vegetáriánus,fasírozott,fasírozott
Krumplileves,5,Krumplileves,leves,vegetáriánus,,Krumplileves
"Körömpörkölt, sósburgonya, saláta",5,"Körömpörkölt , sósburgonya , saláta",főétel,,pörkölt,"Körömpörkölt, sósburgonya, saláta"
Lestyános szárnyas raguleves,5,lestyános szárnyas raguleves,leves,csirke,,Lestyános szárnyas raguleves
Mákos vagy sajtos nudli,5,mákos vagy sajtos nudli,főétel,vegetáriánus,,Sajtos vagy Mákos nudli
Mézes - mustáros csirkemell bulgurral,5,Mézes - mustáros csirkemell bulgur,főétel,csirke,,Mézes - mustáros csirkemell bulgurral
"Tejfölös pácolt csirkemell rántva, vegyes köret",5,"Tejfölös pácol csirkemell rántva , vegyes köret",főétel,csirke,rántott,"Tejfölös pácolt csirkemell rántva, vegyes köret"
"Pankómorzsás csirkemell, rizibizi",5,"Pankómorzsás csirkemell , rizibizi",főétel,csirke,,rizibizi
Tejfölös vajbableves,5,Tejfölös vajbableves,leves,,,Tejfölös vajbableves
Rántott zöldségek jázmin rizs tartár mártás,5,rántott zöldség jázmin rizs tartár mártás,főétel,vegetáriánus,rántott,Rántott zöldségek jázmin rizs tartár mártás
Tárkonyos sertésraguleves,5,tárkonyos sertésraguleves,leves,sertés,,Tárkonyos sertésraguleves
Tárkonyos libaragu leves,5,tárkonyos libaragu leves,leves,,,Tárkonyos libaragu leves
"Szecsuáni csirkemell, sült tésztával",5,"szecsuáni csirkemell , sült tészta",főétel,csirke,sült,"Szecsuáni csirkemell, sült tésztával"
Szegedi gulyásleves - Szárnyas raguleves,5,szegedi gulyásleves - szárnyas raguleves,leves,"csirke,marha",,Szegedi gulyásleves - Szárnyas raguleves
"Töltött csirkecomb, püré",5,"töltött csirkecomb , püré",főétel,csirke,töltött,"Töltött csirkecomb, püré"
"Vadas sertésszelet, galuska",5,"Vadas sertésszelet , galuska",főétel,sertés,,galuska
Töltött káposzta tejföllel,5,töltött káposzta tejföl,főétel,,töltött,Töltött káposzta tejföllel
"Zöldborsófőzelék, göngyölt hús",5,"Zöldborsófőzelék , göngyölt hús",főzelék,,,"Zöldborsófőzelék, göngyölt hússal"
Vaníliakrémes palacsinta,5,vaníliakrémes palacsinta,desszert,,,Vaníliakrémes palacsinta
"Pilvax"" szelet, rizibizi",5,"Pilvax "" szelet , rizibizi",főétel,,,rizibizi
"Velővel töltött rántott hús, rizibizi",5,"velő tölt rántott hús , rizibizi",főétel,,"rántott,töltött",rizibizi
Sárgaborsó főzelék sertés pörkölttel,5,Sárgaborsó főzelék sertés pörkölt,főzelék,sertés,pörkölt,sertéspörkölt
Zsemlegombócleves,5,Zsemlegombócleves,leves,,,Zsemlegombócleves
"Csevap, friss saláta, sültburgonya",5,"Csevap , friss saláta , sültburgonya",főétel,,sült,hasábburgonya
"Zöldbabfőzelék, stefánia",5,"Zöldbabfőzelék , stefánia",főzelék,,,"Zöldbabfőzelék, stefánia"
"Debreceni szelet, kagylótészta",5,"debreceni szél , kagylótészta",főétel,,,"Debreceni szelet, kagylótésztával"
"Gombapörkölt, nokedli",5,"Gombapörkölt , nokedli",főétel,vegetáriánus,pörkölt,galuska
"Gyümölcs főzelék, párizsi csirkemell",5,"gyümölcs főzelék , párizsi csirkemell",főzelék,csirke,párizsi,"Gyümölcs főzelék, párizsi csirkemell"
"Gyümölcsfőzelék, párizsi szelettel",5,"Gyümölcsfőzelék , párizsi szelet",főzelék,,párizsi,"Gyümölcsfőzelék, párizsi szelettel"
Húsleves cérnametélttel,5,húsleves cérnametélt,leves,,,húsleves
"Kapros pulykaragu, tésztával",5,"Kapros pulykaragu , tészta",főétel,csirke,,"Kapros pulykaragu, tésztával"
"Kelkáposzta főzelék, sertéspörkölt",5,"Kelkáposzta főzelék , sertéspörkölt",főzelék,sertés,pörkölt,sertéspörkölt
Magyaros karfiolleves,5,magyaros karfiolleves,leves,vegetáriánus,,Magyaros karfiolleves
"Mustáros sertés, vajas petrezselymes spagetti",5,"mustáros sertés , vajas petrezselymes spagetti",főétel,sertés,,"Mustáros sertés, vajas petrezselymes spagetti"
"Zöldbabfőzelék, vagdalt",5,"Zöldbabfőzelék , vagdalt",főzelék,,,Zöldbabfőzelék vagdalttal
"Zöldborsó főzelék, rántott szelet",5,"Zöldborsó főzelék , rántott szél",főzelék,,rántott,"Zöldborsó főzelék, rántott szelet"
Paprikás burgonya kolbásszal,5,paprikás burgonya kolbász,főétel,sertés,,paprikás krumpli
"Zöldborsófőzelék, fasírozott",5,"zöldborsófőzelék , fasírozott",főzelék,,fasírozott,fasírozott
Zöldségleves reszelt tésztával,5,Zöldségleves reszelt tészta,leves,vegetáriánus,,zöldségleves
sültes tálat szombati és vasárnapi elvitelre készítünk,5,sültes tálat szombati és vasárnapi elvitel készít,főétel,,sült,sültes tálat szombati és vasárnapi elvitelre készítünk
"Óvári sertés szelet, törtburgonya",5,"Óvári sertés szél , törtburgonya",főétel,sertés,,burgonyapüré
"Párizsi csirkemell, meggyszósz",5,"párizsi csirkemell , meggyszósz",főétel,csirke,párizsi,"Párizsi csirkemell, meggyszósz"
"Resztelt máj, törtburgonya, savanyúság",5,"resztelt máj , törtburgonya , savanyúság",főétel,,,burgonyapüré
Szárnyas erőleves zöldségekkel,5,Szárnyas erőleves zöldség,leves,csirke,,Szárnyas erőleves zöldségekkel
"Rántott csirkecomb, petrezselymes burgonya",5,"rántott csirkecomb , petrezselymes burgonya",főétel,csirke,rántott,petrezselymes burgonya
Sajtos - tejfölös makaróni,4,Sajtos - tejfölös makaróni,főétel,vegetáriánus,,Sajtos - tejfölös makaróni
Sajtkrémleves Csirkehúsos rizottó,4,Sajtkrémleves Csirkehúsos rizottó,leves,csirke,,Sajtkrémleves Csirkehúsos rizottó
"Rántott sertésszelet, rizibizi, saláta",4,"rántott sertésszelet , rizibizi , saláta",főétel,sertés,rántott,rizibizi
"Rántott sertésmáj, hagymás törtburgonyával",4,"rántott sertésmáj , hagymás törtburgonya",főétel,sertés,rántott,"Rántott sertésmáj, hagymás törtburgonyával"
"Rántott sertésmáj, burgonyapüré",4,"rántott sertésmáj , burgonyapüré",főétel,sertés,rántott,burgonyapüré
"Rántott sajt, vagy Rántott karaj, választható körettel",4,"rántott sajt , vagy Rántott karaj , választható köret",főétel,sertés,rántott,rántott sajt
"Rántott sajt, sültburgonya",4,"rántott sajt , sültburgonya",főétel,vegetáriánus,"rántott,sült",hasábburgonya
"Rántott sajt, rizs, tartár",4,"rántott sajt , rizs , tartár",főétel,vegetáriánus,rántott,rántott sajt
"Rántott sajt, rizibizi, tartár",4,"rántott sajt , rizibizi , tartár",főétel,vegetáriánus,rántott,rizibizi
"Rántott sajt - rántott csirkemell, párolt rizs, majonézes kukorica",4,"rántott sajt - rántott csirkemell , párolt rizs , majonézes kukorica",főétel,csirke,"rántott,párolt",rántott sajt
Rántott leves,4,rántott leves,leves,,rántott,Rántott leves
"Rántott karfiol, rizs, tartár",4,"rántott karfiol , rizs , tartár",főétel,vegetáriánus,rántott,"Rántott karfiol, rizs, tartár"
"Rántott csirkemell, vagy Sajtbundás csirkemell, vagy",4,"rántott csirkemell , vagy Sajtbundás csirkemell , vagy",főétel,csirke,"rántott,bundás",rántott csirkemell
"Rántott csirkemell, petrezselymes burgonya, kompót",4,"rántott csirkemell , petrezselymes burgonya , kompót",főétel,csirke,rántott,rántott csirkemell
Sajtos tejfölös spagetti,4,Sajtos tejfölös spagetti,főétel,vegetáriánus,,Sajtos tejfölös spagetti
"Rántott csirkecomb, mexikói rizs",4,"rántott csirkecomb , mexikói rizs",főétel,csirke,rántott,"Rántott csirkecomb, mexikói rizs"
"Rántott csirkecomb, almafőzelék",4,"rántott csirkecomb , almafőzelék",főzelék,csirke,rántott,"Rántott csirkecomb, almafőzelék"
"Rántott camambert, burgonyapürével",4,"rántott camamber , burgonyapüre",főétel,,rántott,burgonyapüré
"Rántott camambert, barack, áfonya, krokett",4,"rántott camamber , barack , áfonya , krokett",főétel,,rántott,"Rántott camambert, barack, áfonya, krokett"
"Ropogós hekk, rizs",4,"ropogós hekk , rizs",főétel,hal,,"Ropogós hekk, rizs"
"Ropogós csülök, törtburgonya",4,"ropogós csül , törtburgonya",főétel,sertés,,burgonyapüré
"Sajttal töltött karaj, rizibizi",4,"Sajt töltött karaj , rizibizi",főétel,sertés,töltött,rizibizi
Rakott kel tejföllel,4,rakott kel tejföl,főétel,,rakott,Rakott kel tejföllel
"Párizsi sertésszelet, vegyes köret, saláta",4,"párizsi sertésszelet , vegyes köret , saláta",főétel,sertés,párizsi,"Párizsi sertésszelet, vegyes köret, saláta"
"Sertés pörkölt, galuska, savanyúság",4,"sertés pörkölt , galuska , savanyúság",főétel,sertés,pörkölt,sertéspörkölt
"Párizsi csirkemell, meggymártás",4,"párizsi csirkemell , meggymártás",főétel,csirke,párizsi,"Párizsi csirkemell, meggymártás"
"Sertés szelet Budapest módra, párolt rizs, saláta",4,"Sertés szél Budapest mód , párolt rizs , saláta",főétel,sertés,párolt,"Sertés szelet Budapest módra, párolt rizs, saláta"
"Piszkeszósz, rántott szelet",4,"Piszkeszósz , rántott szél",főétel,,rántott,"Piszkeszósz, rántott szelet"
"Penne négysajt mártással, csirke nuggets",4,"Penne négysaj mártás , csirke nuggets",főétel,csirke,,"Penne négysajt mártással, csirke nuggets"
Sertésragu leves,4,Sertésragu leves,leves,sertés,,Sertésragu leves
"Paradicsomos káposzta, fasírt",4,"Paradicsomos káposzta , fasírt",főétel,,fasírozott,fasírozott
Sertésraguleves,4,Sertésraguleves,leves,sertés,,Sertésraguleves
Sertéssült hagymás törtburgonyával,4,Sertéssült hagymás törtburgonya,főétel,sertés,sült,Sertéssült hagymás törtburgonyával
Snapszer leves,4,Snapszer leves,leves,,,Snapszer leves
Olasz húsos tésztasaláta,4,olasz húsos tésztasaláta,főétel,,,Olasz húsos tésztasaláta
Olasz csirkés tésztasaláta,4,olasz csirkés tésztasaláta,főétel,,,Olasz csirkés tésztasaláta
Olasz csirkés tészta saláta,4,olasz csirkés tészta saláta,főétel,,,Olasz csirkés tészta saláta
Nyírségi gombóc leves,4,nyírségi gombóc leves,leves,,,Nyírségi gombóc leves
"Mátrai borzaska, steak burgonya",4,"Mátrai borzaska , steak burgonya",főétel,,,hasábburgonya
Mátrai borzaska,4,Mátrai borzaska,főétel,,,Mátrai borzaska
"Sobri sertés szelet, párolt rizs",4,"Sobri sertés szél , párolt rizs",főétel,sertés,párolt,"Sobri sertés szelet, párolt rizs"
Sobri szelet galuskával,4,Sobri szelet galuska,főétel,,,Sobri szelet galuskával
"Mustáros sertés flekken, hagymás burgonya, saláta",4,"mustáros sertés flekk , hagymás burgonya , saláta",főétel,sertés,,"Mustáros sertés flekken, hagymás burgonya, saláta"
Meggyleves - Csontleves,4,meggyleves - Csontleves,leves,,,gyümölcsleves
Sokmagvas csirkemell franciasalátával,4,Sokmagvas csirkemell franciasaláta,főétel,csirke,,Sokmagvas csirkemell franciasalátával
"Magvas bundában sült csirkemell, rizi-bizi, savanyúság",4,"Magvas bunda sült csirkemell , rizi-bizi , savanyúság",főétel,csirke,sült,rizibizi
Lyoni sertésszelet rizibizi,4,lyoni sertésszelet rizibizi,főétel,sertés,,rizibizi
Ludaskása,4,ludaskás,főétel,,,Ludaskása
Libaraguleves Juhtúrós sztrapacska,4,Libaraguleves Juhtúrós sztrapacska,leves,vegetáriánus,,galuska
"Levesek: -Zöldborsóleves, -Savanyú krumplileves, -Málna-krémleves",4,"leves : -Zöldborsóleves , -Savanyú krumplileves , -Málna-krémleves",leves,vegetáriánus,,"Levesek: -Zöldborsóleves, -Savanyú krumplileves, -Málna-krémleves"
Lenmagos rántott csirkemell citrusos saláta,4,lenmagos rántott csirkemell citrusos saláta,főétel,csirke,rántott,rántott csirkemell
Lencsefőzelék sertéspörkölttel,4,Lencsefőzelék sertéspörkölt,főzelék,sertés,pörkölt,sertéspörkölt
Lecsós csirkemáj jázmin rizs,4,Lecsós csirkemáj jázmin rizs,főétel,csirke,,Lecsós csirkemáj jázmin rizs
Lecsegulyás,4,Lecsegulyás,főétel,marha,,Lecsegulyás
Körömpörkölt sós burgonya,4,Körömpörkölt sós burgonya,főétel,,pörkölt,Körömpörkölt sós burgonyával
Káposztás rizseshús,4,Káposztás rizseshús,főétel,,,Káposztás rizseshús
Konyhakerti gulyásleves,4,Konyhakerti gulyásleves,leves,marha,,Konyhakerti gulyásleves
"Kondorosi aprópecsenye, tészta",4,"Kondorosi aprópecsenye , tészta",főétel,,,"Kondorosi aprópecsenye, tészta"
Kolozsvári rakott káposzta,4,Kolozsvári rakott káposzta,főétel,,rakott,Rakott kolozsvári káposzta
Kofapecsenye rizzsel,4,kofapecsenye rizz,főétel,,,Kofapecsenye rizzsel
"Kijevi szelet, petrezselymes burgonya",4,"Kijevi szelet , petrezselymes burgonya",főétel,,,petrezselymes burgonya
"Kijevi csirkemell, rizibizi",4,"Kijevi csirkemell , rizibizi",főétel,csirke,,rizibizi
Somlói galuska,4,somlói galuska,főétel,,,galuska
Kefíres vitamin saláta csirkehússal,4,kefíres vitamin saláta csirkehús,főétel,csirke,,Kefíres vitamin saláta csirkehússal
Karfiolleves húsgombóccal,4,karfiolleves húsgombóc,leves,vegetáriánus,,Karfiolleves húsgombóccal
Karamellizált almaleves,4,Karamellizált almaleves,leves,,,gyümölcsleves
Karaláb krémleves - Csontleves cérnametélttel,4,Karaláb krémleves - csontleves cérnametélt,leves,,,csontleves
Stroganoff sertés párolt rizzsel,4,Stroganoff sertés párolt rizzs,főétel,sertés,párolt,Stroganoff sertés párolt rizzsel
"Kapros pulykaragu, sajtos masnival",4,"Kapros pulykaragu , sajtos masni",főétel,csirke,,"Kapros pulykaragu, sajtos masnival"
Kakaspörkölt galuskával,4,Kakaspörkölt galuska,főétel,,pörkölt,Kakaspörkölt galuskával
Indiai csirke jázmin rizs,4,indiai csirke jázmin rizs,főétel,csirke,,Indiai csirke jázmin rizs
Húsos pásztortarhonya,4,húsos pásztortarhonya,desszert,,,Húsos pásztortarhonya
"Szaftos csirkecomb, rizs",4,"szaftos csirkecomb , rizs",főétel,csirke,,"Szaftos csirkecomb, rizs"
"Hétvezér tokány, tészta",4,"hétvezér tokány , tészta",főétel,,,"Hétvezér tokány, tészta"
Hurka-kolbàsz tepsis burgonyával,4,hurka-kolbàsz tepsis burgonya,főétel,sertés,tepsis,Hurka-kolbàsz tepsis burgonyával
"Hawaii csirkemell, sültburgonya",4,"Hawaii csirkemell , sültburgonya",főétel,csirke,sült,hasábburgonya
"Halrúd, kukoricás rizs",4,"Halrúd , kukoricás rizs",főétel,,,"Halrúd, kukoricás rizs"
"Göngyölt hús, törtburgonya",4,"Göngyölt hús , törtburgonya",főétel,,,burgonyapüré
Gödöllői sertés szelet petrezselymes burgonya,4,gödöllői sertés szél petrezselymes burgonya,főétel,sertés,,petrezselymes burgonya
Szaftos tarja tepsis burgonya,4,szaftos tar tepsis burgonya,főétel,sertés,tepsis,Szaftos tarja tepsis burgonya
"Szegedi töltött sertéstekercs, petrezselymes burgonya",4,"Szegedi töltött sertéstekercs , petrezselymes burgonya",főétel,sertés,töltött,petrezselymes burgonya
Gulyásleves - Szárnyas raguleves,4,Gulyásleves - Szárnyas raguleves,leves,"csirke,marha",,Gulyásleves - Szárnyas raguleves
Gulyás leves,4,Gulyás leves,leves,marha,,Gulyás leves
Grillezett filézett csirkecomb rizzsel,4,grillezett filézett csirkecomb rizz,főétel,csirke,grillezett,Grillezett filézett csirkecomb rizzsel
Grillezett csirkemell mustár mártással hasábburgonyával,4,grillezett csirkemell mustár mártás hasábburgonya,főétel,csirke,grillezett,roston csirkemell
"Grillcsirke, burgonyapüré",4,"Grillcsirke , burgonyapüré",főétel,csirke,grillezett,burgonyapüré
Gordon bleu hasábburgonya,4,Gordon bleu hasábburgonya,főétel,,,hasábburgonya
"Szezámmagos rántott csirkemell, párolt rizs, saláta",4,"szezámmagos rántott csirkemell , párolt rizs , saláta",főétel,csirke,"rántott,párolt",rántott csirkemell
Főételek: -Töltött csirkecomb rizibizivel,4,főétel : -Töltött csirkecomb rizibizi,főétel,csirke,töltött,rizibizi
"Füstölt sonkás besamelben sült csirkemell, snidlinges rizs",4,"Füstölt sonkás besamel sült csirkemell , snidlinges rizs",főétel,csirke,sült,"Füstölt sonkás besamelben sült csirkemell, snidlinges rizs"
Füstölt sajttal és sonkával sült csirkemell rizi-bizivel,4,Füstölt sajt és sonka sült csirkemell rizi-bizivel,főétel,"csirke,sertés",sült,rizibizi
Fitness menü: Tonhal salát,4,Fitness menü : tonhal sala,főétel,hal,,Fitness menü: Tonhal salát
Eperkrémleves - Csontleves,4,Eperkrémleves - Csontleves,leves,,,csontleves
"Dubarry sertés szelet, törtburgonya",4,"Dubarry sertés szél , törtburgonya",főétel,sertés,,burgonyapüré
"Szezámmagos rántott szelet, burgonyapüré",4,"szezámmagos rántott szél , burgonyapüré",főétel,,rántott,burgonyapüré
Csőben sült brokkolis csirkemell rizzsel,4,cső sült brokkolis csirkemell rizz,főétel,csirke,sült,Csőben sült brokkolis csirkemell rizzsel
"Csőben sült barackos csirkemell, párolt rizs C: Párizsi sertéscsíkok, petrezselymes burgonya, saláta",4,"cső sült barackos csirkemell , párolt rizs C : Párizsi sertéscsík , petrezselymes burgonya , saláta",főétel,"csirke,sertés","sült,párolt,párizsi",petrezselymes burgonya
Csülkös pacalpörkölt főttburgonya,4,Csülkös pacalpörkölt főttburgonya,főétel,,"főtt,pörkölt",Csülkös pacalpörkölt főttburgonya
Csülkös gulyás leves,4,Csülkös gulyás leves,leves,marha,,Csülkös gulyás leves
"Szezámos rántott halfilé, rizibizi, tartár",4,"szezámos rántott halfilé , rizibizi , tartár",főétel,hal,rántott,rizibizi
"Csirkecomb jóasszony raguval, rizs",4,"Csirkecomb jóasszony raguval , rizs",főétel,csirke,,"Csirkecomb jóasszony raguval, rizs"
"Csirkecomb filé májával csőben sütve, petr. burg.",4,"Csirkecomb filé má cső sütve , petr . burg .",főétel,csirke,sült,"Csirkecomb filé májával csőben sütve, petr. burg."
"Szárazbabfőzelék, marhapörkölt",4,"szárazbabfőzelék , marhapörköl",főzelék,marha,pörkölt,"Szárazbabfőzelék, marhapörkölt"
"Csabai töltött karaj, tört burgonya",4,"csabai töltött karaj , tört burgonya",főétel,sertés,töltött,burgonyapüré
"Cordon bleu, steakburgonya",4,"Cordon bleu , steakburgonya",főétel,,,"Cordon bleu, steakburgonya"
"Cigánypecsenye, petrezselymes burgonya, saláta",4,"Cigánypecsenye , petrezselymes burgonya , saláta",főétel,,,petrezselymes burgonya
"Camemberttel sült sonkás csirkemell, rizs",4,"Camembert sült sonkás csirkemell , rizs",főétel,csirke,sült,"Camemberttel sült sonkás csirkemell, rizs"
"Búbos hús, rizibizi",4,"búbos hús , rizibizi",főétel,,,rizibizi
"Burgonyafőzelék, mustáros tépett sertéshús, ropogós bundában",4,"Burgonyafőzelék , mustáros tépett sertéshús , ropogós bunda",főzelék,sertés,,"Burgonyafőzelék, mustáros tépett sertéshús, ropogós bundában"
"Szárnyas májas csirkemell, párolt rizs, saláta",4,"Szárnyas májas csirkemell , párolt rizs , saláta",főétel,csirke,párolt,"Szárnyas májas csirkemell, párolt rizs, saláta"
"Budapest szelet, tészta",4,"Budapest szél , tészta",főétel,,,"Budapest szelet, tészta"
"Sült csirkecomb, friss saláta, rizs",4,"sült csirkecomb , friss saláta , rizs",főétel,csirke,sült,"Sült csirkecomb, friss saláta, rizs"
Brokkoli leves,4,brokkoli leves,leves,vegetáriánus,,Brokkoli leves
"Borsos aprópecsenye, tészta",4,"Borsos aprópecseny , tészta",főétel,,,"Borsos aprópecsenye, tészta"
Bolognai lasagne,4,bolognai lasagne,főétel,,,bolognai spagetti
Betyárgulyás,4,Betyárgulyás,főétel,marha,,Betyárgulyás
Bakonyi sertésszelet tésztával,4,bakonyi sertésszelet tészta,főétel,sertés,,Bakonyi sertésszelet tésztával
Baconos - gombás spagetti,4,Baconos - gombás spagetti,főétel,sertés,,Baconos - gombás spagetti
Babgulyás csipetkével,4,Babgulyás csipetke,leves,marha,,Babgulyás csipetkével
Babgulyás - Libaraguleves,4,Babgulyás - Libaraguleves,leves,marha,,Babgulyás - Libaraguleves
"Almafőzelék, párizsi szelettel",4,"Almafőzelék , párizsi szelet",főzelék,,párizsi,"Almafőzelék, párizsi szelettel"
"Almafőzelék, párizsi szelet",4,"Almafőzelék , párizsi szelet",főzelék,,párizsi,"Almafőzelék, párizsi szelettel"
Sajttal baconnel töltött sertéskaraj párolt zöldségekkel,4,Sajt bacon töltött sertéskaraj párolt zöldség,főétel,sertés,"párolt,töltött",Sajttal baconnel töltött sertéskaraj párolt zöldségekkel
Marhapörkölt galuskával csalamádéval,4,Marhapörkölt galuska csalamádé,főétel,marha,pörkölt,Marhapörkölt galuskával csalamádéval
+választható köret,4,+választható köret,főétel,,,+választható köret
"Pilvax"" szelet, törtburgonya",4,"Pilvax "" szelet , törtburgonya",főétel,,,burgonyapüré
"Sült császárhús hagymás tört burgonya, lilakáposzta",4,"sült császárhús hagymás tört burgonya , lilakáposzta",főétel,,sült,burgonyapüré
Őszibarack krémleves,4,Őszibarack krémleves,leves,,,Őszibarack krémleves
"Sertéspörkölt, galuskával",4,"Sertéspörkölt , galuska",főétel,sertés,pörkölt,sertéspörkölt
"Sajttal töltött szelet, rizibizivel",4,"Sajt töltött szél , rizibizi",főétel,vegetáriánus,töltött,rizibizi
"Sajttal - őszibarackkal töltött szelet, rizzsel",4,"Sajt - őszibarack töltött szél , rizz",főétel,vegetáriánus,töltött,"Sajttal - őszibarackkal töltött szelet, rizzsel"
"Rántott szelet, zöldséges rizs",4,"rántott szél , zöldséges rizs",főétel,vegetáriánus,rántott,"Rántott szelet, zöldséges rizs"
"Rántott sertésszelet, petrezselymes burgonya",4,"rántott sertésszelet , petrezselymes burgonya",főétel,sertés,rántott,petrezselymes burgonya
"Sült oldalas, hagymás burgonya",4,"sült oldalas , hagymás burgonya",főétel,sertés,sült,"Sült oldalas, hagymás burgonya"
"Rántott sajt- rántott csirkemell, párolt rizs, majonézes burgonya C: Kofapecsenye tarhonyával",4,"rántott sajt- rántott csirkemell , párolt rizs , majonézes burgonya C : Kofapecsenye tarhonya",főétel,csirke,"rántott,párolt",rántott sajt
"Rántott csirkecomb, kukoricás rizs",4,"rántott csirkecomb , kukoricás rizs",főétel,csirke,rántott,"Rántott csirkecomb, kukoricás rizs"
"Tejszínes - kapros csirkemell, bulgur",4,"tejszínes - kapros csirkemell , bulgur",főétel,csirke,,"Tejszínes - kapros csirkemell, bulgur"
Rántott csirkecomb rizi-bizi,4,rántott csirkecomb rizi-bizi,főétel,csirke,rántott,rizibizi
"Pilvax szelet, petrezselymes burgonya",4,"Pilvax szél , petrezselymes burgonya",főétel,,,petrezselymes burgonya
Zöldséges lasagne,4,zöldséges lasagne,főétel,vegetáriánus,,Zöldséges lasagne
"Pilvax"" szelet, burgonyapüré",4,"Pilvax "" szelet , burgonyapüré",főétel,,,burgonyapüré
"Pacalpörkölt, sósburgonyával",4,"Pacalpörkölt , sósburgonya",főétel,,pörkölt,"Pacalpörkölt, sósburgonya"
"Tyúkpörkölt, tésztával",4,"Tyúkpörköl , tészta",főétel,,pörkölt,"Tyúkpörkölt, tésztával"
