dish_name,count,lemmas,course,protein,cooking_method,canonical_name
"Sajttal - sonkával töltött szelet, rizzsel",39,"Sajt - sonka töltött szél , rizz",főétel,sertés,töltött,"Sajttal - sonkával töltött szelet, rizzsel"
Krumplis tészta,39,Krumplis tészta,főétel,vegetáriánus,,Krumplis tészta
Lencsegulyás,37,Lencsegulyás,leves,marha,,Lencsegulyás
Sonkás kocka,36,sonkás kocka,főétel,,,Sonkás kocka
Sárgaborsóleves,36,Sárgaborsóleves,leves,,,Sárgaborsóleves
"Hentes tokány, tészta",36,"hentes tokány , tészta",főétel,,,"Hentes tokány, tészta"
Grízgaluskaleves,36,Grízgaluskaleves,leves,,,galuska
Májgaluska leves,35,Májgaluska leves,leves,,,galuska
Friss zöldségleves,35,friss zöldségleves,leves,vegetáriánus,,zöldségleves
Tárkonyos raguleves,35,tárkonyos raguleves,leves,,,Tárkonyos raguleves
Nyírségi gombócleves,35,nyírségi gombócleves,leves,,,Nyírségi gombócleves
Nyitás február 15.-én,35,nyitás február 15.,főétel,,,Nyitás február 15.-én
"Töltött csirkecomb, petrezselymes burgonya",34,"töltött csirkecomb , petrezselymes burgonya",főétel,csirke,töltött,petrezselymes burgonya
Brassói,33,Brassói,főétel,,,Brassói
Rizsfelfújt,33,Rizsfelfújt,főétel,,,Rizsfelfújt
Grízgombóc leves,33,Grízgombóc leves,leves,,,Grízgombóc leves
Gombaleves,33,Gombaleves,leves,vegetáriánus,,Gombaleves
Tejszínes - gombás csirkemell tésztával,33,tejszínes - gombás csirkemell tészta,főétel,csirke,,Tejszínes - gombás csirkemell tésztával
Tyúkhúsleves,32,Tyúkhúsleves,leves,,,húsleves
"Gyros, sültburgonya, friss saláta",31,"gyros , sültburgonya , friss saláta",főétel,,sült,hasábburgonya
Csülökpörkölt tarhonyával,31,Csülökpörkölt tarhonya,főétel,sertés,pörkölt,Csülökpörkölt tarhonyával
Burgonyaleves,31,Burgonyaleves,leves,,,Burgonyaleves
Zúzapörkölt tésztával,31,Zúzapörkölt tészta,főétel,,pörkölt,Zúzapörkölt tésztával
Vegyes gyümölcsleves,29,vegyes gyümölcsleves,leves,,,gyümölcsleves
"Rántott szelet, rizibizi",29,"rántott szél , rizibizi",főétel,,rántott,rizibizi
"Marhapörkölt tarhonyával, saláta",29,"Marhapörkölt tarhonya , saláta",főétel,marha,pörkölt,"Marhapörkölt tarhonyával, saláta"
Daragaluska leves,29,Daragaluska leves,leves,,,galuska
Túrós palacsinta,29,Túrós palacsinta,desszert,vegetáriánus,,Túrós palacsinta
Almaleves,29,Almaleves,leves,,,gyümölcsleves
Zöldborsóleves - Gyümölcsleves,28,Zöldborsóleves - Gyümölcsleves,leves,,,gyümölcsleves
"Csirkepörkölt tésztával, saláta",28,"Csirkepörkölt tészta , saláta",főétel,csirke,pörkölt,csirkepörkölt
Fokhagyma krémleves,27,Fokhagyma krémleves,leves,,,Fokhagyma krémleves
Kofapecsenye tarhonyával,27,Kofapecsenye tarhonya,főétel,,,Kofapecsenye tarhonyával
Töltött paprika,26,töltött paprika,főétel,,töltött,Töltött paprika
Tökfőzelék fasírozottal,26,Tökfőzelék fasírozot,főzelék,vegetáriánus,fasírozott,fasírozott
Grízes tészta,26,Grízes tészta,főétel,,,Grízes tészta
Rizsleves,25,Rizsleves,leves,,,Rizsleves
Magyaros zöldborsóleves,25,magyaros zöldborsóleves,leves,,,Magyaros zöldborsóleves
