dish_name,count,lemmas,course,protein,cooking_method
"Búbos hús, törtburgonyával",3,"búbos hús , törtburgonya",főétel,,
"Gyümölcsleves, grillcsirke, friss salátával, joghurtos öntettel",3,"gyümölcsleves , grillcsirke , friss saláta , joghurtos öntet",leves,csirke,grillezett
"Csirkenyárs, sültburgonya",3,"Csirkenyárs , sültburgonya",főétel,csirke,sült
Tyúkhús leves,3,Tyúkhús leves,leves,,
"Rántott velő, püré",3,"rántott velő , püré",főétel,,rántott
Kolbászos tarhonyaleves,3,Kolbászos tarhonyaleves,leves,sertés,
"Sült tarja, lecsós burgonya",3,"sül tar , lecsós burgonya",főétel,sertés,sült
Milánói borda,3,Milánói borda,főétel,,milánói
Csirkehúsos tésztasaláta,3,csirkehúsos tésztasaláta,főétel,csirke,
"Hagymás rostélyos, sültburgonya",3,"Hagymás rostélyos , sültburgonya",főétel,,sült
Édes - savanyú csirkemell sült tésztával,3,édes - savanyú csirkemell sült tészta,főétel,csirke,sült
Kijevi csirkemell párolt rizs,3,kijevi csirkemell párolt rizs,főétel,csirke,párolt
Vadas zsemlegombóccal,3,Vadas zsemlegombóc,desszert,,
"Csőben sült barackos csirkemell, bulgur",3,"cső sült barackos csirkemell , bulgur",főétel,csirke,sült
Csirkepörkölt tortillába tekerve lime - os tejföllel,3,Csirkepörkölt tortilla tekerve lime - os tejföl,főétel,csirke,pörkölt
Barackos csirkemell burgonyapürével,3,barackos csirkemell burgonyapüre,főétel,csirke,
Rántott csirkemell vegyes köret,3,rántott csirkemell vegyes köret,főétel,csirke,rántott
Halászlé - gyümölcsleves,3,Halászlé - gyümölcsleves,leves,hal,
Hentesapró rizzsel,3,Hentesapró rizz,főétel,,
Kolozsvári zöldbableves - csontleves,3,Kolozsvári zöldbableves - csontleves,leves,,
"Sertéspörkölt, tarhonyával",3,"Sertéspörkölt , tarhonya",főétel,sertés,pörkölt
"Édes - savanyú csirke, currys rizs",3,"édes - savanyú csirke , currys rizs",főétel,csirke,
Spagetti bolognese,3,spagetti bolognes,főétel,,
Hamburger menü: juicy burger mézes mustáros sültkrumplival,3,Hamburger menü : juicy burger mézes mustáros sültkrumpli,főétel,vegetáriánus,sült
"Hawaii csirkemell, vajas burgonya",3,"Hawaii csirkemell , vajas burgonya",főétel,csirke,
Erőleves tésztával zöldségekkel,3,Erőleves tészta zöldség,leves,vegetáriánus,
Bableves kolbásszal,3,Bableves kolbász,leves,sertés,
"Fokhagymás pulykasült, törtburgonya, párolt káposzta",3,"Fokhagymás pulykasül , törtburgonya , párolt káposzta",főétel,csirke,"sült,párolt"
"Gyümölcsleves, tarja gazdagon, jázmin rizzsel",3,"Gyümölcsleves , tar gazdag , jázmin rizz",leves,sertés,
"Babgulyás - mákos guba, túrós tészta",3,"Babgulyás - mákos guba , túrós tészta",leves,marha,
"Rántott karfiol és sajt, mexikói rizs, tartármártás",3,"rántott karfiol és sajt , mexikói rizs , tartármártás",főétel,vegetáriánus,rántott
"Mátrai csirke borzaska, párolt rizzsel",3,"Mátrai csirke borzaska , párolt rizzs",főétel,csirke,párolt
Pacal főtt burgonya,3,Pacal főtt burgonya,főétel,,főtt
"Pulykapörkölt, nokedli",3,"Pulykapörkölt , nokedli",főétel,csirke,pörkölt
Trópusi gyümölcsleves,3,trópusi gyümölcsleves,leves,,
Cigánypecsenye parázs burgonya,3,Cigánypecsenye parázs burgonya,főétel,,
Holstein szelet krumplipüré,3,Holstein szél krumplipüré,főétel,vegetáriánus,
"Rántott szelet hasáb, tartár",3,"rántott szél hasáb , tartár",főétel,,rántott
"Kemencében sült csülök, hagymás burgonya",3,"Kemencé sült csül , hagymás burgonya",főétel,sertés,sült
Paradicsomos töltött paprika,3,Paradicsomos töltött paprika,főétel,,töltött
"Zöldbabfőzelék, Stefánia vagdalt",3,"Zöldbabfőzelék , Stefánia vagdalt",főzelék,,
"Tökfőzelék, sertéspörkölt",3,"tökfőzelék , sertéspörkölt",főzelék,sertés,pörkölt
Lecsós csirkeszárnyak házi karikaburgonya,3,Lecsós csirkeszárny házi karikaburgonya,főétel,csirke,
Csirkemell ragu kukoricás rizs,3,Csirkemell ragu kukoricás rizs,főétel,csirke,
Rántott csirkemell rizi-bizi,3,rántott csirkemell rizi-bizi,főétel,csirke,rántott
"Resztelt máj, főttburgonyával",3,"resztelt máj , főttburgonya",főétel,,főtt
Májgombócleves - gyümölcsleves,3,Májgombócleves - gyümölcsleves,leves,,
"Mézes - mustáros csirkemell, bulgur",3,"Mézes - mustáros csirkemell , bulgur",főétel,csirke,
Tejfölös gombaleves – csontleves tésztával,3,Tejfölös gombaleves – csontleves tészta,leves,vegetáriánus,
"Füstölt sajttal töltött szelet, petrezselymes burgonya",3,"Füstölt sajt töltött szél , petrezselymes burgonya",főétel,vegetáriánus,töltött
"Gyümölcsmártás, Párizsi csirkemell",3,"gyümölcsmártás , Párizsi csirkemell",főétel,csirke,párizsi
"Sajtos tejfölös csirkemell, rizibizi",3,"Sajtos tejfölös csirkemell , rizibizi",főétel,csirke,
"Paprikás szelet, tojásos tésztával",3,"paprikás szél , tojásos tészta",főétel,vegetáriánus,
"Csk burger, sült krumplival",3,"Csk burger , sült krumpli",főétel,vegetáriánus,sült
"Holstein szelet, petrezselymes burgonya",3,"Holstein szél , petrezselymes burgonya",főétel,,
Vasi pecsenye sültburgonya uborka,3,Vasi pecseny sültburgonya uborka,főétel,,sült
Sárgaborsó főzelék sült csirkecomb,3,Sárgaborsó főzelék sült csirkecomb,főzelék,csirke,sült
Kijevi csirkemell mexikói rizzsel,3,Kijevi csirkemell mexikói rizz,főétel,csirke,
"Mézes - mustáros csirkemell, rizs",3,"Mézes - mustáros csirkemell , rizs",főétel,csirke,
"Tárkonyos raguleves - rizsfelfújt, káposztás tészta",3,"tárkonyos raguleves - rizsfelfújt , káposztás tészta",leves,,
Tárkonyos csirkeraguleves,3,tárkonyos csirkeraguleves,leves,csirke,
Zöldborsófőzelék rántott csirkecomb,3,Zöldborsófőzelék rántott csirkecomb,főzelék,csirke,rántott
"Csongrádi tekercs, hagymás burgonya",3,"csongrádi tekercs , hagymás burgonya",főétel,,
Temesvári tokány tésztával,3,Temesvári tokány tészta,főétel,,
Retro paprikás krumpli gazdagon,3,Retro paprikás krumpli gazdag,főétel,vegetáriánus,
"Gyümölcsleves, bécsi szelet, majonézes burgonya",3,"gyümölcsleves , bécsi szelet , majonézes burgonya",leves,,bécsi
Csirkehúsos rizottó,3,csirkehúsos rizottó,főétel,csirke,
Tejszínes zöldborsós pulykatokány tésztával,3,tejszínes zöldborsós pulykatokány tészta,főétel,csirke,
"Prézlis tészta, barack lekvárral",3,"prézlis tészta , barack lekvár",főétel,,
Ürü gulyásleves – tyúkhúsleves tésztával,3,Ürü gulyásleves – tyúkhúsleves tészta,leves,marha,
Magvas rántott jércemell bulgurral,3,Magvas ránt jércemell bulgur,főétel,csirke,rántott
Halászlé pontypatkóval,3,Halászlé pontypatkó,főétel,hal,
"Pulykapörkölt, sósburgonya, saláta",3,"pulykapörkölt , sósburgonya , saláta",főétel,csirke,pörkölt
Zöldbabfőzelék sült csirke felsőcomb,3,Zöldbabfőzelék sült csirke felsőcomb,főzelék,csirke,sült
Sárgaborsó gulyás - gyümölcsleves,3,Sárgaborsó gulyás - gyümölcsleves,leves,marha,
Meglepetés sütemény,3,Meglepetés sütemény,desszert,,
"Sajttal - sonkával töltött sertés java, vajas burgonya, saláta",3,"Sajt - sonka töltött sertés java , vajas burgonya , saláta",főétel,sertés,töltött
Magyaros zöldbableves - újházi tyúkhúsleves - fokhagyma krémleves,3,magyaros zöldbableves - újházi tyúkhúsleves - fokhagyma krémleves,leves,,
"Borzaska, petrezselymes burgonya",3,"Borzaska , petrezselymes burgonya",főétel,,
"Oldalas, tepsis burgonya",3,"oldalas , tepsis burgonya",főétel,sertés,tepsis
"Sajttal- sonkával töltött sertés java, rizibizi, saláta c: tejszínes gombás csirkemell tésztával",3,"sajttal- sonka töltött sertés java , rizibizi , saláta c : tejszínes gombás csirkemell tészta",főétel,"csirke,sertés",töltött
Csütörtökön --- halászlé,3,csütörtök --- halászlé,főétel,hal,
"Csirkemájas zúzapörkölt tarhonyával, saláta",3,"Csirkemájas zúzapörkölt tarhonya , saláta",főétel,csirke,pörkölt
"Rántott halfilé, majonézes burgonyasalátával",3,"rántott halfilé , majonézes burgonyasaláta",főétel,hal,rántott
"Pirított csirkemáj, tepsis burgonya, savanyúság",3,"pirított csirkemáj , tepsis burgonya , savanyúság",főétel,csirke,"pirított,tepsis"
"Rántott csirkemell, zöldséges rizs, saláta c: óvári sertés java, petrezselymes burgonya, saláta",3,"rántott csirkemell , zöldséges rizs , saláta c : óvári sertés java , petrezselymes burgonya , saláta",főétel,"csirke,sertés",rántott
Lúdláb pohárkrém,3,Lúdláb pohárkrém,főétel,,
Zöldbab leves baconnel,3,Zöldbab leves bacon,leves,sertés,
Budapest sertésszelet párolt rizzsel,3,Budapest sertésszelet párolt rizz,főétel,sertés,párolt
Bogrács gulyásleves - szárnyas raguleves,3,Bogrács gulyásleves - szárnyas raguleves,leves,"csirke,marha",
Zöldborsós sertés tésztával,3,zöldborsós sertés tészta,főétel,sertés,
"Párizsi szelet, vegyes köret",3,"párizsi szél , vegyes köret",főétel,,párizsi
"Gombapörkölt, galuska",3,"Gombapörkölt , galuska",főétel,vegetáriánus,pörkölt
"Zöldborsó főzelék, rántott jércemell",3,"Zöldborsó főzelék , rántott jércemell",főzelék,csirke,rántott
Mascarponés paradicsomos csirkemell rizzsel,3,Mascarponés paradicsomos csirkemell rizzsel,főétel,csirke,
Sült hekk vegyes köret,3,sült hekk vegyes köret,főétel,hal,sült
"Sajttal- gombával töltött sertés java, gombás rizs, saláta c: rakott kel",3,"sajttal- gomba töltött sertés java , gombás rizs , saláta c : rak kel",főétel,sertés,"töltött,rakott"
"Óvári sertés szelet, rizibizi",3,"Óvári sertés szél , rizibizi",főétel,sertés,
Székely gulyás,3,Székely gulyás,főétel,marha,
Rakott zöldbab tejföllel,3,rakott zöldbab tejföl,főétel,vegetáriánus,rakott
Tüzes penne,3,tüzes pesz,főétel,,
"Dubarry szelet, rizibizi",3,"Dubarry szelet , rizibizi",főétel,,
Toros káposzta,3,toros káposzta,főétel,,
"Rántott csirkemell, petrezselymes burgonya, saláta c: mexikói sertés szelet, párolt rizs",3,"rántott csirkemell , petrezselymes burgonya , saláta c : mexikói sertés szelet , párolt rizs",főétel,"csirke,sertés","rántott,párolt"
"Zöldborsós aprópecsenye, tészta",3,"zöldborsós aprópecsenye , tészta",főétel,,
Frankfurti szelet rizzsel,3,frankfurti szél rizzsel,főétel,,
Darált húsos tejszínes tészta,3,darált húsos tejszínes tészta,főétel,,
Óvári sertés szelet hasábburgonya,3,Óvári sertés szél hasábburgonya,főétel,sertés,
Zöldséges pulykaleves,3,zöldséges pulykaleves,leves,csirke,
Mennyei mákos,3,Mennyei mákos,főétel,,
Fokhagymás oldalas steak burgonya,3,Fokhagymás oldalas steak burgonya,főétel,sertés,
"Disznótoros, hagymás törtburgonya, savanyúság",3,"disznótoros , hagymás törtburgonya , savanyúság",főétel,sertés,
"Grillezett csirkemell gombamártással ,burgonyapürével",3,"grillezett csirkemell gombamártás , burgonyapüre",főétel,csirke,grillezett
Bajor burgonya leves,3,bajor burgonya leves,leves,,
Káposztás tészta c: lekváros gombóc,3,Káposztás tészta c : lekváros gombóc,desszert,,
"Sajttal- gombával töltött sertés java, hagymás burgonya, saláta c: rakott kel",3,"sajttal- gomba töltött sertés java , hagymás burgonya , saláta c : rak kel",főétel,sertés,"töltött,rakott"
"Kijevi sertéskaraj, vegyes köret",3,"Kijevi sertéskaraj , vegyes köret",főétel,sertés,
Húsgombóc leves - csontleves cérnametélttel,3,Húsgombóc leves - csontleves cérnametélt,leves,,
Trópusi csirkemell rizzsel,3,trópusi csirkemell rizzsel,főétel,csirke,
"Cukkinis bundában sült halfilé, rizs, tartármártás",3,"cukkinis bunda sült halfilé , rizs , tartármártás",főétel,hal,sült
Hentesapró tésztával,3,Hentesapró tészta,főétel,,
Zöldséges kacsaragu tésztával,3,zöldséges kacsaragu tészta,főétel,vegetáriánus,
Hentes tokány tarhonya,3,Hentes tokány tarhonya,főétel,,
Házhoz szállítás nincs,3,Ház szállítás nincs,főétel,,
"Csirkenyárs, steak burgonya",3,"Csirkenyárs , steak burgonya",főétel,csirke,
Csőben sült csirkemell brokkolival,3,cső sült csirkemell brokkoli,főétel,csirke,sült
Sertéspörkölt szarvacska tésztával -burgonyafőzelék Stefánia vagdalttal -töltött dagadó rizibizi,3,Sertéspörkölt szarvacska tészta -burgonyafőzelék Stefánia vagdalt -töltött dagadó rizibizi,főzelék,sertés,"töltött,pörkölt"
"Szezámmagos tőkehalfilé rántva, rizi-bizi, tartármártás",3,"szezámmagos tőkehalfilé rántva , rizi-bizi , tartármártás",főétel,hal,rántott
"Fokhagymás pulykasült, tört burgonya, párolt káposzta",3,"Fokhagymás pulykasül , tört burgonya , párolt káposzta",főétel,csirke,"sült,párolt"
Rántott csirkemell meggymártással,3,rántott csirkemell meggymártás,főétel,csirke,rántott
Rakott Bolognai,3,rakott Bolognai,főétel,,rakott
"Óvári sertés szelet, burgonyapüré",3,"Óvári sertés szél , burgonyapüré",főétel,sertés,
"Hentes aprópecsenye, tészta",3,"hentes aprópecsenye , tészta",főétel,,
Fitness menü: cornflakes saláta 290 kcal,3,Fitness menü : cornflakes saláta 290 kcal,főétel,,
"Kelkáposzta főzelék, fokhagymás sertéssült, palacsinta",3,"Kelkáposzta főzelék , fokhagymás sertéssül , palacsinta",desszert,sertés,sült
"Sajtos gombás sertés batyu, hagymás burgonya, saláta c: Milánói rakott tészta",3,"Sajtos gombás sertés batyu , hagymás burgonya , saláta c : Milánói rakott tészta",főétel,sertés,"rakott,milánói"
Mangókrémleves - csontleves,3,Mangókrémleves - csontleves,leves,,
"Mustáros pulyka apró, tészta",3,"mustáros pulyka apró , tészta",főétel,csirke,
"1 690.- jégsaláta, paprika, paradicsom, uborka, reszelt parmezán és mozzarella, ezersziget öntet, extrudált kenyér kocka, roston csirkemell",3,"1 690.- jégsaláta , paprika , paradicsom , uborka , reszelt parmeza és mozzarella , ezersziget öntet , extrudált kenyér kocka , rost csirkemell",főétel,csirke,grillezett
Fitness menü: sajtsziget salát,3,Fitness menü : sajtsziget sala,főétel,vegetáriánus,
"Szezámos csirkemell, zöldséges bulgurral",3,"szezámos csirkemell , zöldséges bulgur",főétel,csirke,
"Sertéscsíkok Párizsi bundában, párolt rizs, saláta c: csőben sült hawaii csirkemell, vajas burgonya",3,"Sertéscsík Párizsi bunda , párolt rizs , saláta c : cső sült hawaii csirkemell , vajas burgonya",főétel,"csirke,sertés","sült,párolt,párizsi"
"Mexikói sertés szelet, párolt rizs",3,"mexikói sertés szelet , párolt rizs",főétel,sertés,párolt
"Sült kacsacomb, törtburgonya",3,"sült kacsacomb , törtburgonya",főétel,,sült
"Rántott csirkecomb, rizs",3,"rántott csirkecomb , rizs",főétel,csirke,rántott
"Csongrádi sertés tekercs, párolt rizs, saláta",3,"csongrádi sertés tekercs , párolt rizs , saláta",főétel,sertés,párolt
"Főnök kedvence, tepsis burgonya",3,"Főnök kedvenc , tepsis burgonya",főétel,,tepsis
"Tempura csirkemell, sült krumplival 2190.",3,"Tempura csirkemell , sült krumpli 2190.",főétel,csirke,sült
"Gyümölcsfőzelék, sült csirkecombbal",3,"Gyümölcsfőzelék , sült csirkecomb",főzelék,csirke,sült
"Zöldborsófőzelék, Stefánia szelet",3,"Zöldborsófőzelék , Stefánia szelet",főzelék,,
Mustáros sertés vajas spagettivel,3,mustáros sertés vajas spagetti,főétel,sertés,
Borsmártásos csirkemell steak burgonya,3,borsmártásos csirkemell steak burgonya,főétel,csirke,
Paradicsomleves - csontleves cérnametélttel,3,paradicsomleves - csontleves cérnametélt,leves,,
"Rántott jércemell, burgonya krokett",3,"rántott jércemell , burgonya krokett",főétel,csirke,rántott
Raguleves - tyúkhúsleves - áfonyakrémleves,3,Raguleves - tyúkhúsleves - áfonyakrémleves,leves,,
Francia rakott krumpli,3,francia rakott krumpli,főétel,vegetáriánus,rakott
"Bakonyi sertéskaraj, galuska",3,"bakonyi sertéskaraj , galuska",főétel,sertés,
Húsos korhelyleves,3,húsos korhelyleves,leves,,
Darált húsos zöldségleves,3,darált húsos zöldségleves,leves,vegetáriánus,
Gombakrémleves,3,Gombakrémleves,leves,vegetáriánus,
"Sült hekk, rizibizi",3,"sült hekk , rizibizi",főétel,hal,sült
Paprikás csirkemell ragu polenta,3,paprikás csirkemell ragu polenta,főétel,csirke,
"Párizsi sertés csíkok, párolt rizs, párolt zöldség c: grillezett csirkeszárny, vajas burgonya, saláta",3,"párizsi sertés csík , párolt rizs , párolt zöldség c : grillezett csirkeszárny , vajas burgonya , saláta",főétel,"csirke,sertés","párolt,grillezett,párizsi"
"Szecsuáni csirke, sült tészta",3,"szecsuáni csirke , sült tészta",főétel,csirke,sült
Húsos pásztor tarhonya,3,húsos pásztor tarhonya,főétel,,
Sajtmártásos gnocchi spenóth levéllel,3,sajtmártásos gnocchi spenóth levél,főétel,vegetáriánus,
Csülkös babgulyás leves - tárkonyos sertés raguleves,3,Csülkös babgulyás leves - tárkonyos sertés raguleves,leves,"sertés,marha",
"Rántott csirkeszárny, petrezselymes burgonya",3,"rántott csirkeszárny , petrezselymes burgonya",főétel,csirke,rántott
Forró almaleves,3,Forró almaleves,leves,,
"Búbos sertés java, párolt rizs, saláta",3,"búbos sertés java , párolt rizs , saláta",főétel,sertés,párolt
"Rántott camembert, áfonya, barack, krokett",3,"rántott camember , áfonya , barack , krokett",főétel,,rántott
"Tavasziasan töltött sertés tekercs rántva, párolt rizs, saláta c: roston sült csirkecomb, tepsis burgonya, saláta",3,"tavaszias töltött sertés tekercs rántva , párolt rizs , saláta c : rost sült csirkecomb , tepsis burgonya , saláta",főétel,"csirke,sertés","rántott,sült,párolt,töltött,grillezett,tepsis"
Mennyei mákos tészta,3,mennyei mákos tészta,főétel,,
Thai csirke tésztával,3,Thai csirke tészta,főétel,csirke,
Kolbászos burgonyagombóc leves,3,kolbászos burgonyagombóc leves,leves,sertés,
Burgonyafőzelék sült oldalassal,3,Burgonyafőzelék sült oldalas,főzelék,sertés,sült
Zúzapörkölt nokedlivel,3,Zúzapörkölt nokedli,főétel,,pörkölt
Bbq oldalas burgonyapüré,3,Bbq oldalas burgonyapüré,főétel,sertés,
Soksajtos csőben sült csirke bulgurral,3,soksajtos cső sült csirke bulgur,főétel,csirke,sült
"Tökfőzelék vagdalttal, gyümölcs",3,"Tökfőzelék vagdalt , gyümölcs",főzelék,vegetáriánus,
"Rántott camambert, krokett, barack, áfonya",3,"rántott camamber , krokett , barack , áfonya",főétel,,rántott
Rántott csirkemell majonézes burgonyával,3,rántott csirkemell majonézes burgonya,főétel,csirke,rántott
Babgulyás leves - sertés raguleves,3,Babgulyás leves - sertés raguleves,leves,"sertés,marha",
"Rántott sajt - rántott csirkemell, párolt rizs, majonézes brokkoli",3,"rántott sajt - rántott csirkemell , párolt rizs , majonézes brokkoli",főétel,csirke,"rántott,párolt"
"Ropogós malacsült, párolt káposzta, törtburgonya",3,"ropogós malacsült , párolt káposzta , törtburgonya",főétel,sertés,"sült,párolt"
"Cordon Bleu, rizs, almakompót",3,"Cordon Bleu , rizs , almakompót",főétel,,
Szezámmagos csirkemell rizibizivel,3,szezámmagos csirkemell rizibizi,főétel,csirke,
Gödöllői sertésszelet petrezselymes burgonya,3,gödöllői sertésszelet petrezselymes burgonya,főétel,sertés,
"Gyümölcsleves, kemencés kacsacomb, zöldséges bulgur",3,"gyümölcsleves , kemencés kacsacomb , zöldséges bulgur",leves,vegetáriánus,
"Rántott sajt - rántott gomba, párolt rizs, majonézes burgonya",3,"rántott sajt - rántott gomba , párolt rizs , majonézes burgonya",főétel,vegetáriánus,"rántott,párolt"
Húsos rakott tészta,3,húsos rakott tészta,főétel,,rakott
Lecsós sertéskaraj rizzsel,3,Lecsós sertéskaraj rizzs,főétel,sertés,
"Rántott karfiol, gomba, kukoricás rizzsel",3,"rántott karfiol , gomba , kukoricás rizz",főétel,vegetáriánus,rántott
Szegedi gulyásleves – palóc gulyásleves,3,szegedi gulyásleves – palóc gulyásleves,leves,marha,
Zellerkrémleves krutonnal,3,Zellerkrémleves kruton,leves,,
Szezámmagos rántott csirkemell burgonyapüré,3,szezámmagos rántott csirkemell burgonyapüré,főétel,csirke,rántott
Zöldséges rizses csirke,3,zöldséges rizses csirke,főétel,csirke,
"Hagymás rostélyos, törtburgonya",3,"Hagymás rostélyos , törtburgonya",főétel,,
Tyúkhúsleves - zöldborsóleves - karfiol krémleves levesgyönggyel,3,Tyúkhúsleves - zöldborsóleves - karfiol krémleves levesgyöngy,leves,vegetáriánus,
Kijevi csirkemell zöldséges rizs,3,Kijevi csirkemell zöldséges rizs,főétel,csirke,
"Pankó morzsás rántott csirkemell, rizibizi",3,"Pankó morzsás rántott csirkemell , rizibizi",főétel,csirke,rántott
Magyaros csirkemell steak burgonya,3,magyaros csirkemell steak burgonya,főétel,csirke,
Kolbászos bajor leves tejfölösen,3,Kolbászos bajor leves tejfölös,leves,sertés,
Sült lecsós tarja dollár burgonya,3,sült lecsós tar dollár burgonya,főétel,sertés,sült
"Párizsi sertéscsíkok, rizibizi, saláta c: mustáros sertés tarja, tört burgonya, saláta",3,"párizsi sertéscsík , rizibizi , saláta c : mustáros sertés tar , tört burgonya , saláta",főétel,sertés,párizsi
Puszta pecsenye rizibizi,3,Puszta pecsenye rizibizi,főétel,,
Szárnyas májrizottó c: grízes tészta öntettel,3,Szárnyas májrizottó c : grízes tészta öntet,főétel,csirke,
Kelvirágleves - csontleves cérnametélttel,3,Kelvirágleves - csontleves cérnametélt,leves,,
Paprikás burgonya virslivel,3,paprikás burgonya virsli,főétel,sertés,
"Kelkáposztafőzelék, fasírttal",3,"Kelkáposztafőzelék , fasírt",főzelék,,fasírozott
Legényfogó leves - húsos csontleves,3,legényfogó leves - húsos csontleves,leves,,
"Párizsi sertés csíkok, vegyes köret, saláta",3,"párizsi sertés csík , vegyes köret , saláta",főétel,sertés,párizsi
"Dubarry szelet, törtburgonyával",3,"Dubarry szél , törtburgonya",főétel,,
"Csáky rostélyos, törtburgonya",3,"Csáky rostélyos , törtburgonya",főétel,,
"Édes - savanyú pulyka, rizs",3,"édes - savanyú pulyka , rizs",főétel,csirke,
"Rántott tengeri halszelet, majonézes burgonya",3,"rántott tengeri halszelet , majonézes burgonya",főétel,,rántott
"Rántott sertésmáj, petrezselymes burgonya, savanyúság",3,"rántott sertésmáj , petrezselymes burgonya , savanyúság",főétel,sertés,rántott
"Sertés szelet Pékné módra, hagymás burgonya, saláta",3,"Sertés szél Pékné mód , hagymás burgonya , saláta",főétel,sertés,
"Tavasziasan töltött sertés java rántva, párolt rizs, saláta c: rántott ponty, majonézes burgonya",3,"tavaszias töltött sertés java rántva , párolt rizs , saláta c : rántott ponty , majonézes burgonya",főétel,"sertés,hal","rántott,párolt,töltött"
"Zöldbabfőzelék, sertéssült",3,"Zöldbabfőzelék , sertéssül",főzelék,sertés,sült
"Rántott csirkemell, zöldséges rizs, saláta",3,"rántott csirkemell , zöldséges rizs , saláta",főétel,csirke,rántott
Paprikás burgonya,3,paprikás burgonya,főétel,,
Túrós csusza szalonnával,3,Túrós csusza szalonna,főétel,sertés,
"Csongrádi sertés tekercs, rizibizi, saláta c: roston sült csirkecomb, hagymás burgonya, párolt zöldség",3,"csongrádi sertés tekercs , rizibizi , saláta c : rost sült csirkecomb , hagymás burgonya , párolt zöldség",főétel,"csirke,sertés","sült,párolt,grillezett"
Cézár saláta szezámmagos csirkemell falatokkal,3,Cézár saláta szezámmagos csirkemell falat,főétel,csirke,
Hagymakrémleves,3,hagymakrémleves,leves,,
"Zöldbabfőzelék, sertéssült, sütemény",3,"Zöldbabfőzelék , sertéssül , sütemény",desszert,sertés,sült
"Rántott jércemell, rizibizi",3,"rántott jércemell , rizibizi",főétel,csirke,rántott
"Gyrosos tortilla, sült krumplival",3,"Gyrosos tortilla , sült krumpli",főétel,vegetáriánus,sült
"Csirkemell csíkok Orly módra, rizibizi, saláta",3,"Csirkemell csík Orly mód , rizibizi , saláta",főétel,csirke,
Rántott jércemell rizzsel,3,rántott jércemell rizz,főétel,csirke,rántott
"Hagymás rostélyos, steak burgonya",3,"Hagymás rostélyos , steak burgonya",főétel,,
"Csongrádi batyu, petrezselymes burgonya",3,"csongrádi batyu , petrezselymes burgonya",főétel,,
Milánói makaróni,3,Milánói makaróni,főétel,,milánói
"Rántott csirkemell, vajas burgonya, saláta c: hentes sertés szelet, párolt rizs",3,"rántott csirkemell , vajas burgonya , saláta c : hentes sertés szelet , párolt rizs",főétel,"csirke,sertés","rántott,párolt"
"Párizsi csirkemell, hagymás burgonya, saláta c: Holstein sertés szelet, párolt rizs, saláta",3,"párizsi csirkemell , hagymás burgonya , saláta c : Holstein sertés szelet , párolt rizs , saláta",főétel,"csirke,sertés","párolt,párizsi"
"Zúzapörkölt tarhonyával, uborka salátával",3,"Zúzapörkölt tarhonya , uborka saláta",főétel,,pörkölt
Stroganoff sertés tésztával,3,Stroganoff sertés tészta,főétel,sertés,
Modenai penne,3,Modenai pesz,főétel,,
Milánói rakott tészta,3,Milánói rakott tészta,főétel,,"rakott,milánói"
Bogrács gulyásleves - sertés raguleves,3,Bogrács gulyásleves - sertés raguleves,leves,"sertés,marha",
"Sertéskaraj ""otthon"" módra, vegyes köret",3,"Sertéskaraj "" otthon "" mód , vegyes köret",főétel,sertés,
"Sajttal- sonkával töltött sertés batyu, rizibizi, saláta c: fokhagymás pulykasült, tört burgonya, párolt káposzta",3,"sajttal- sonka töltött sertés batyu , rizibizi , saláta c : fokhagymás pulykasült , tört burgonya , párolt káposzta",főétel,"csirke,sertés","sült,párolt,töltött"
Bbq csirkecomb petrezselymes burgonyával,3,Bbq csirkecomb petrezselymes burgonya,főétel,csirke,
"Párizsi csirkemell, meggyfőzelék",3,"párizsi csirkemell , meggyfőzelék",főzelék,csirke,párizsi
"Rántott sertésmáj, tört burgonya, savanyúság",3,"rántott sertésmáj , tört burgonya , savanyúság",főétel,sertés,rántott
Lecsós-tejfölös tepsis csirkecomb filé,3,lecsós-tejfölös tepsis csirkecomb filé,főétel,csirke,tepsis
Tarhonyaleves kolbászmorzsával,3,Tarhonyaleves kolbászmorzsa,leves,sertés,
Gombás rakott burgonyapüré,3,gombás rakott burgonyapüré,főétel,,rakott
Gyümölcsös rizs,3,gyümölcsös rizs,főétel,,
Bbq csirkecomb pirított hagymás törtburgonyával,3,Bbq csirkecomb pirít hagymás törtburgonya,főétel,csirke,pirított
Székely káposzta,3,Székely káposzta,főétel,,
"Szezámmagos rántott csirkemell - rántott karfiol, párolt rizs, majonéz c: Holstein sertés szelet, vajas burgonya, saláta",3,"szezámmagos rántott csirkemell - ránt karfiol , párolt rizs , majonéz c : holstein sertés szelet , vajas burgonya , saláta",főétel,"csirke,sertés","rántott,párolt"
"Rántott sertésszelet, fűszeres burgonya, savanyúság",3,"rántott sertésszelet , fűszeres burgonya , savanyúság",főétel,sertés,rántott
Stíriai metélt - krumplis tészta - mákos nudli,3,stíriai metél - krumplis tészta - mákos nudli,főétel,vegetáriánus,
"Párizsi sertés csíkok, petrezselymes burgonya, saláta",3,"párizsi sertés csík , petrezselymes burgonya , saláta",főétel,sertés,párizsi
Köményes tojásleves,3,köményes tojásleves,leves,vegetáriánus,
