dish_name,count,lemmas,course,protein,cooking_method
Tökfőzelék fasírozottal,37,Tökfőzelék fasírozot,főzelék,vegetáriánus,fasírozott
Kofapecsenye tarhonyával,37,Kofapecsenye tarhonya,főétel,,
Zúzapörkölt tésztával,37,Zúzapörkölt tészta,főétel,,pörkölt
Májgaluska leves,37,Májgaluska leves,leves,,
Csirkepörkölt tésztával,37,Csirkepörkölt tészta,főétel,csirke,pörkölt
"Marhapörkölt tarhonyával, saláta",36,"Marhapörkölt tarhonya , saláta",főétel,marha,pörkölt
"Csirkepörkölt tésztával, saláta",36,"Csirkepörkölt tészta , saláta",főétel,csirke,pörkölt
Tejszínes - gombás csirkemell tésztával,34,tejszínes - gombás csirkemell tészta,főétel,csirke,
Grízes tészta,33,Grízes tészta,főétel,,
Almaleves,33,Almaleves,leves,,
Sajtos tészta,33,Sajtos tészta,főétel,vegetáriánus,
Krémes karfiolleves,33,krémes karfiolleves,leves,vegetáriánus,
Zöldségleves - gyümölcsleves,31,Zöldségleves - gyümölcsleves,leves,vegetáriánus,
Magyaros zöldborsóleves,31,magyaros zöldborsóleves,leves,,
Rizsleves,31,Rizsleves,leves,,
"Halrudak, rizibizi",30,"halrudak , rizibizi",főétel,,
Szilvaleves,30,Szilvaleves,leves,,
Sajtos - tejfölös tészta,30,Sajtos - tejfölös tészta,főétel,vegetáriánus,
"Burgonyafőzelék, fasírt",30,"Burgonyafőzelék , fasírt",főzelék,,fasírozott
Töltött paprika,30,töltött paprika,főétel,,töltött
Alföldi tésztaleves,29,alföldi tésztaleves,leves,,
"Gyros, sültburgonya",29,"gyros , sültburgonya",főétel,,sült
"Töltött csirkecomb, rizibizi",29,"töltött csirkecomb , rizibizi",főétel,csirke,töltött
Tejfölös burgonyaleves,28,Tejfölös burgonyaleves,leves,,
Marhapörkölt galuskával,28,Marhapörkölt galuska,főétel,marha,pörkölt
Bakonyi betyárleves,28,bakonyi betyárleves,leves,,
"Körömpörkölt, főttburgonya",28,"Körömpörkölt , főttburgonya",főétel,,"főtt,pörkölt"
"Sajttal - sonkával töltött szelet, rizibizi",28,"Sajt - sonka töltött szél , rizibizi",főétel,sertés,töltött
Rakott krumpli,27,rakott krumpli,főétel,vegetáriánus,rakott
"Pacal, főttburgonya",27,"pacal , főttburgonya",főétel,,főtt
Húsgombócleves,27,Húsgombócleves,leves,,
"Zöldborsós sertés tokány galuskával, saláta",27,"zöldborsós sertés tokány galuska , saláta",főétel,sertés,
"Kakaspörkölt tésztával, saláta",27,"Kakaspörkölt tészta , saláta",főétel,,pörkölt
Bácskai rizses hús,27,bácskai rizses hús,főétel,,
Zúzapörkölt tarhonyával,27,Zúzapörkölt tarhonya,főétel,,pörkölt
Bácskai rizseshús,26,Bácskai rizseshús,főétel,,
"Borsos tokány galuskával, saláta",26,"Borsos tokány galuska , saláta",főétel,,
Burgonyagombóc leves,26,Burgonyagombóc leves,leves,,
"Kelkáposzta főzelék, fasírozott",26,"Kelkáposzta főzelék , fasírozott",főzelék,,fasírozott
Ízes derelye,26,ízes derely,főétel,,
"Sárgaborsó főzelék, sertéspörkölt",26,"Sárgaborsó főzelék , sertéspörkölt",főzelék,sertés,pörkölt
Eperkrémleves,26,Eperkrémleves,leves,,
Szaggatott tésztaleves,25,szaggatott tésztaleves,leves,,
"Párizsi sertés szelet, vegyes köret, saláta",25,"párizsi sertés szél , vegyes köret , saláta",főétel,sertés,párizsi
"Pulykapörkölt tésztával, saláta",25,"Pulykapörkölt tészta , saláta",főétel,csirke,pörkölt
Zöldborsó leves,25,Zöldborsó leves,leves,,
Diós tészta,25,Diós tészta,főétel,,
Bakonyi betyár leves,25,bakonyi betyár leves,leves,,
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.",25,"rántott sajt , sül krumpli . 2290.- sajttal-sonkával töltött karaj , sül krumpli . 2390.- sajtos-bundás csirkemell , sül krumpli . 2390.- lassú sült oldalas , jázmin rizz . 2390.",főétel,"csirke,sertés","rántott,sült,töltött,bundás"
Tárkonyos sertés raguleves,25,tárkonyos sertés raguleves,leves,sertés,
Mákos guba,24,mákos guba,főétel,,
"Csikós tokány, tészta",24,"Csikós tokány , tészta",főétel,,
"Gyümölcsfőzelék, Párizsi csirkemell",24,"Gyümölcsfőzelék , Párizsi csirkemell",főzelék,csirke,párizsi
Hentes tokány tésztával,24,Hentes tokány tészta,főétel,,
Borsos tokány tésztával,24,Borsos tokány tészta,főétel,,
Gyros,24,Gyros,főétel,,
"Töltött csirkecomb, burgonyapüré",24,"töltött csirkecomb , burgonyapüré",főétel,csirke,töltött
Sütőtök krémleves,23,Sütőt krémleves,leves,vegetáriánus,
Magyaros gombaleves,23,magyaros gombaleves,leves,vegetáriánus,
Vaníliás palacsinta,23,Vaníliás palacsinta,desszert,,
"Rakott burgonya, saláta",23,"rakott burgonya , saláta",főétel,,rakott
"Húsos leves b,c másodikkal",23,"húsos leves b , c második",leves,,
Májgombócleves - csontleves cérnametélttel,23,Májgombócleves - csontleves cérnametélt,leves,,
Pecsenye leves,22,Pecseny leves,leves,,
Rakott kel,22,rakott kel,főétel,,rakott
